tweet_id,time,hashtags,type,faves,retweets,text,mentions
635217891919433728,1440282721,[],rt:634549843734609921,0,13,RT @LoveGhostStars: Pick up our Cat Tote and become president of your very own itty bitty kitty committee today http://t.co/iLttKa1DWu http…,[3107743416]
519527799636639744,1412700054,[],r:259546018,1,0,@peanutjia woah wtf,[259546018]
575348981863071744,1426008861,[],,28,1,Gonna be live on 89.3 KPCC's @taketwo in ten minutes!,[18506744]
663796611701542912,1447096419,[],,66,16,New video! Should I have kids? https://t.co/Nuz7RGitYW https://t.co/QRuuB0pxO7,[]
627602999154597888,1438467189,[],r:23822945,4,0,@christinechen4 @DANakaDAN @wongfupro @philipwang hahaha done and done,"[23822945, 18175673, 16535953, 16657990]"
590303881944403970,1429574387,[],,280,36,I'm on a spaceship. http://t.co/IgVACuCy83,[]
611761778553257984,1434690348,"[""GSchalkcatcrop""]",rt:611704953451589632,0,2,RT @LoveGhostStars: Did yall see @AnnaAkana's latest short? She wears our #GSchalkcatcrop the entire show!! https://t.co/MpI5UjQZdq,"[3107743416, 380433983]"
672565133806280705,1449186998,[],r:35488271,2,0,@ejizabof haha no worries,[35488271]
514168523350765569,1411422303,[],rt:514146308324868096,0,1,RT @NellyBear11: Just got this today ! :D btw im the one that emailed you about the package tracking haha @AnnaAkana http://t.co/s9FtfRR8Xm,[380433983]
614299934993416192,1435295492,"[""grrlscouts""]",rt:614285430565945344,0,17,"RT @JimMahfood: GRRL SCOUTS Pilot! 
https://t.co/P3wQGGr3eN
Rita is the artist. 
@thehopeharris @mikediva @newformdigital
#grrlscouts http:…","[28501963, 2857106118, 15290897, 2407719408]"
661620452473745408,1446577582,[],r:18201278,2,0,@MaggieLevin your costume won the halloween,[18201278]
520702592976838656,1412980147,[],rt:520671013882064896,0,2,RT @shoeelace_: YESS! @AnnaAkana I finally got it!! Thank you! 😁 http://t.co/aTgwaZFxsL,[380433983]
573192963339124736,1425494826,[],,263,132,"And for the hundredth time, I wish I had Hermione's Time Turner.",[]
611681213124751364,1434671140,[],r:15468048,16,0,@jlangdale don't blame parents for what an ADULT did,[15468048]
622348072245293056,1437214317,[],r:24987045,8,0,@PageKennedy haha thanks Page!,[24987045]
516403984928493568,1411955278,[],,203,98,Here She Is! http://t.co/DuuScP2Qub,[]
616684567458656256,1435864032,[],r:65418476,4,0,@nessa_Rd done son,[]
649683622815903744,1443731620,[],,16,4,TONIGHT! 830pm! I'll be @NerdMelt and showing off something new and special with @bradgage and @spicer https://t.co/qvrVWDA5RB,"[256595307, 51982927, 26326756]"
509141415029264385,1410223747,[],,1,1,@PgTipsxx Thanks for the support Jade! :) Love yo hair,[263800552]
586602902342340608,1428692005,[],r:35523246,3,1,@Hindurock I never said they are taught to rape. Don't think you really listened.,[35523246]
600522291449974784,1432010646,[],,504,53,SUPER SERIOUS ACTOR. http://t.co/lYp4ZnGROD,[]
605118153614442496,1433106385,[],,66,3,Hosting this charity show tonight!! http://t.co/cpw4Srp1RF,[]
583460230383607808,1427942733,"[""bestdayever""]",,3,1,@LyonHerron your positive attitude makes today the #bestdayever !!!!,[3128253164]
576429567243522048,1426266493,[],r:2469592933,1,0,@KingJayAus yes,[2469592933]
590957222567419904,1429730155,[],rt:590935050084024320,0,9,RT @AndreiTerbea: @AnnaAkana Don't you mean FELINISM? *self high five*,"[409799344, 380433983]"
571491358914969600,1425089132,[],rt:571491177721016321,0,8,RT @BrownStefan1: @AnnaAkana totally agree http://t.co/qT9izRaGVJ,"[341661765, 380433983]"
672848152932712448,1449254475,[],r:4446417433,2,1,@jellllly_nahh hey hey heyyyy,[4446417433]
530604206919385090,1415340875,[],,429,239,Real men be polite and shit.,[]
633746850294599680,1439931998,[],,197,24,You know you're a workaholic when your present to yourself for your birthday is doing laundry,[]
592050345179615233,1429990776,[],r:393017714,2,0,@LuchadorCoreano hunting for fun is being a fuck. Hunting for food or protection is different.,[393017714]
577524852652814336,1426527629,"[""WRESTLINGISNTWRESTLING""]",,46,12,"HEY! @Uptomyknees made this dope ass movie called #WRESTLINGISNTWRESTLING and I got to be @DaveBautista ;D 
https://t.co/wsiJLpyiGU","[83112392, 323120520]"
577888007404986368,1426614212,[],,31,6,First episode of Craft Lab is up! https://t.co/PBP1P9LTae,[]
604562050354798592,1432973799,[],,6,0,@bsoohoo wait did I meet you today?,[481566038]
613811812652351488,1435179114,[],,258,182,You do you.,[]
564315325231951872,1423378232,[],r:1929816836,3,0,@CakeyLovesJ love that,[1929816836]
586021994338000896,1428553505,[],r:1414322052,2,0,"@ElDiabloBlanco9 sure! It may not change the fact that there are muggers out there, but I'll educate my children about the topic",[]
614300176019107840,1435295549,[],r:2181465522,2,0,@Jamiedawnlobato aw thank you!,[2181465522]
589202202041786368,1429311726,"[""deep""]",,245,117,No one has a path. We're in a jungle with a sword in our hand.  #deep,[]
632611107593543680,1439661216,[],,205,124,There is a manual for sale on @amazon that teaches you how to date rape women. TAKE THIS SHIT DOWN.,[20793816]
600817731449982976,1432081084,[],r:229717676,4,1,@imnoteu 😘,[]
