tweet_id,time,hashtags,type,faves,retweets,text,mentions
654390469539966976,1444853820,[],,945,377,Hundreds of organizers recently gathered in New Mexico to celebrate progress on health care reform. Read more: http://t.co/k89X7zL294,[]
663838831960018944,1447106485,"[""ofafallsummit""]",,1014,348,"""We've covered 17.6 million Americans so far, and in the process the deficit's been cut by two-thirds."" —President Obama #OFAFallSummit",[]
471682398883553280,1401292821,"[""peopleoverpolitics""]",,1534,3035,Retweet if you agree: State leaders should put #PeopleOverPolitics and stop blocking Medicaid expansion. http://t.co/JsGwxReUzU,[]
467735661571612672,1400351846,"[""idahot""]",,2695,2721,"""No one should face violence or discrimination—no matter who they are or whom they love."" —President Obama #IDAHOT",[]
673668826412638209,1449450139,[],,2447,1300,LIVE: President Obama is addressing the nation on the threat of terrorism and keeping the American people safe. https://t.co/6RzqPFT6or,[]
595621928494362624,1430842308,[],,896,317,This @OFA volunteer is fighting to make the world better for her grandchildren. http://t.co/S2Bgd6Tq7L,[15667802]
572900270654423040,1425425043,"[""letgirlslearn""]",rt:572813847880339458,0,611,RT @FLOTUS: Worth a read: The First Lady on @Upworthy announcing new steps to help #LetGirlsLearn around the globe: http://t.co/IldEFrMx9w,"[1093090866, 524396430]"
540207289144070144,1417630428,"[""getcovered""]",,590,280,Have you checked your options yet? #GetCovered: http://t.co/07tRstp590,[]
451418885716062211,1396461623,[],,588,467,President Obama wants to give America a raise. Watch him discuss the minimum wage at @UMich at 3:00 p.m. ET: http://t.co/HRAl4jdiaM,[88836132]
495991427420405760,1407088546,"[""actonjobs""]",,976,664,"ICYMI: For six months in a row, private sector job creation has exceeded 200,000 jobs. http://t.co/z324uOBHlq #ActOnJobs",[]
662677256825737216,1446829544,"[""keystonexl""]",,1364,559,"""The pipeline would not lower gas prices for American consumers."" —President Obama on rejecting the #KeystoneXL",[]
575358846841061376,1426011213,[],,2013,961,"""We're trying to make sure that across the board more and more young people can afford to go to college."" —President Obama",[]
628935779042004992,1438784949,"[""irandeal""]",,897,428,Tune in at 11:20 a.m. ET to watch President Obama discuss the historic #IranDeal at @AmericanU: http://t.co/kIskcVxC0h,[32433037]
534456702830014464,1416259382,[],,995,571,President Obama's latest commitment shows momentum and U.S. leadership in the global fight against climate change: http://t.co/ZaTcqvhLCc,[]
477190042020872193,1402605946,[],,496,216,Take this survey: What's your top priority for @OFA? http://t.co/stAMGgH6ru,[15667802]
514805934103605248,1411574273,"[""actonclimate""]",,840,572,It's time to #ActOnClimate: http://t.co/5Z3h2AsGFx,[]
497073215823687680,1407346464,"[""raisethewage""]",,670,374,Sign @OFA's petition to #RaiseTheWage: http://t.co/oGLHqw4tH9,[15667802]
540970874795327488,1417812481,[],,882,439,The Clean Air Act has been improving air quality for over 40 years—read what @GinaEPA wrote about proposed updates: http://t.co/9WZnXU7Y6E,[1530850933]
461182220120903680,1398789384,"[""raisethewage""]",,791,577,"If you think America deserves a raise, let your senators know: http://t.co/0Oq7H1kK7y #RaiseTheWage",[]
489473483802673152,1405534547,[],,1236,630,"Thanks to health care reform, expecting families have the protection they deserve. http://t.co/I09wSvfmwe",[]
520267325946085376,1412876371,"[""acaworks""]",rt:520234933361864704,0,608,RT @WhiteHouse: FACT: The number of uninsured young Americans has dropped by nearly 40% over the past 4 years. #ACAWorks http://t.co/eg1H9M…,[30313925]
444984134281089024,1394927459,"[""lastcall2014""]",,648,509,Say you were a part of the final push to help Americans get covered: http://t.co/Fp7ALJJKos #LastCall2014,[]
600400474978717697,1431981602,[],,2997,1264,It's time to do away with Mad Men-era workplace policies—add your name if you agree: http://t.co/i5jzNPSEwi http://t.co/OOj85HZfYn,[]
621067861897777152,1436909091,[],,3388,2911,"""For $80 billion we could double the salary of every high school teacher in America."" —President Obama",[]
563781993620459520,1423251076,[],,790,421,LIVE: The President answers questions from students and faculty at Ivy Tech Community College in Indianapolis. http://t.co/v84rVrP58Z,[]
518128334744481792,1412366396,"[""raisethewage""]",,994,578,See why raising the minimum wage is a good idea for working Americans and their families: http://t.co/QUJKLfu9oy #RaiseTheWage,[]
441986584116621313,1394212788,"[""lastcall2014""]",,753,668,Don't wait. Get covered. http://t.co/29IQ8craEP #LastCall2014 http://t.co/2aKwLnkGaH,[]
593497747912687616,1430335864,"[""leadontrade""]",,728,312,Check out President Obama's interview with @WSJ on why America needs to #LeadOnTrade: http://t.co/XEu9c6vNIg,[3108351]
642057484207677441,1441913407,"[""collegeopportunity""]",,3616,4816,Retweet if you agree that education should be available to all those willing to work for it. #CollegeOpportunity http://t.co/4HyiqG46mm,[]
468763426852835329,1400596884,"[""raisethewage""]",,1322,978,"Add your name if you agree that $14,500 a year isn't enough: http://t.co/njnrobXebS #RaiseTheWage",[]
504012980703752193,1409001033,[],,847,419,"There's been progress in job creation and economic growth, but Congress can do more to help the economy along: http://t.co/At6OBDVU9W",[]
619997744187355136,1436653955,[],,3895,2295,"""Too often, where people live determines what opportunities they have in life."" —President Obama http://t.co/pQyCEWlxBr",[]
476059919582371842,1402336504,[],,1054,949,"""We know—all of you know—that in a 21st century economy higher education is the single best investment in your future."" —President Obama",[]
546333677568163840,1419091073,[],,1093,494,"In this week's address, President Obama reflects on the progress we made in 2014. http://t.co/tFvgPaMpln",[]
454675134071066624,1397237974,[],,1000,759,"""I urge Congress to follow Minnesota’s lead, raise the federal minimum wage, and lift wages for 28 million Americans."" —President Obama",[]
651789264900915200,1444233645,[],,650,234,An @OFA volunteer reflects on the trainings she received—that helped her land her dream job. http://t.co/YABvrFllkR,[15667802]
563043951121530882,1423075113,"[""getcovered""]",,999,419,Not that much time left to #GetCovered: http://t.co/nf95N0Umwf,[]
473844279019069440,1401808254,"[""actonclimate""]",,792,567,Watch: Climate change is real and it's happening now. See how President Obama is taking action. http://t.co/o0dpIT9tBO #ActOnClimate,[]
464813825473409025,1399655226,"[""actonclimate""]",,849,557,"""It's the right thing to do for the planet, but it's also the right thing to do for the bottom line."" —President Obama #ActOnClimate",[]
528212573288558592,1414770665,"[""raisethewage""]",,2143,1447,"""Nobody who works full time in America should be raising their kids below the poverty line."" —President Obama #RaiseTheWage",[]
483007766571671552,1403993000,"[""usmnt""]",,4696,2938,Skills. cc #USMNT http://t.co/hzUHPsz3t9,[]
616676751993909248,1435862169,[],,642,258,LIVE: President Obama is at @UWLaCrosse speaking about economic progress. http://t.co/k7fJ4bBc2x,[92291602]
472125749927743488,1401398525,[],,961,635,Good news: Health care costs are growing at the slowest rate in 50 years. More from @voxdotcom: http://t.co/M0GMAWv8BL,[2347049341]
585819219473735680,1428505160,[],,1562,699,"The White House is expanding ""Take Our Daughters and Sons to Work Day"" to kids who don't have a workplace to visit: http://t.co/6z72bEWXvp",[]
456487656302473217,1397670113,[],,683,672,"Climate change is about more than data. It's about people. Watch the trailer for ""Years of Living Dangerously"": http://t.co/0bErw0BR0C",[]
578268504085782529,1426704929,[],,1219,634,"""America's businesses have added more than 200,000 jobs each month for 12 straight months."" —President Obama",[]
606118279011131392,1433344833,[],,1839,767,Here's one way to spark change: Share what LGBT equality means to you. http://t.co/NBMdHNqUnG,[]
537387202854924288,1416958067,"[""immigrationaction""]",,1315,819,"""Being a nation of immigrants gives us this huge entrepreneurial advantage over other nations."" —President Obama #ImmigrationAction",[]
628250229024821248,1438621501,"[""actonclimate""]",,978,443,Tune in at 2:15 p.m. ET to watch President Obama discuss the importance of the Clean Power Plan: http://t.co/7Oc50aI2Hh #ActOnClimate,[]
443096799239102465,1394477484,"[""affordablecare""]",,409,285,Don’t miss out: #AffordableCare is in your reach. http://t.co/CZGIRr7Tm1 http://t.co/uPrn3X37DO,[]
512336427170807808,1410985497,[],,1037,532,"""For more than two centuries, our founding charter has guided our progress and defined us as a people."" —President Obama on Constitution Day",[]
473862531354615809,1401812606,"[""actonclimate""]",,856,628,Climate change activists scored a massive victory yesterday: http://t.co/sk4sN091cX #ActOnClimate,[]
665277079261433857,1447449390,"[""closethegap"", ""yesshecan""]",rt:665254882635620352,0,1321,RT @WhiteHouse: RT if you agree: It's time to #CloseTheGap so more women have a shot at success. https://t.co/7dJl9Ki5xj #YesSheCan https:/…,[30313925]
498858942391263232,1407772214,[],,626,288,"ICYMI: President Obama visited mom-and-pop shops in historic Parkville, Missouri: http://t.co/loMp56RZ7X",[]
444512896303656960,1394815107,"[""getcovered""]",,448,405,Last call to #GetCovered in 2014. http://t.co/zcclU1pT6a http://t.co/eaWtirxQiw,[]
451437849469267969,1396466145,[],,927,557,"""The good news is more young people are earning college degrees than ever before."" —President Obama",[]
638435417964937216,1441049839,"[""irandeal""]",,1129,592,Read what former U.S. Secretary of State @Madeleine Albright has to say about the #IranDeal. http://t.co/WjdXPU01Aj,[1707321486]
442327642155388928,1394294102,[],,670,465,"In his weekly address, President Obama calls on Congress to listen to the American people and raise the minimum wage. http://t.co/TmfT1QasOU",[]
639891438927523841,1441396982,[],,1561,559,Go behind the lens with @PeteSouza's photo gallery from President Obama's recent trip to Alaska. http://t.co/cisonNXKnY,[18215973]
674663560090226688,1449687302,"[""13thamendment""]",rt:674642990954975233,0,1785,"RT @WhiteHouse: ""We betray the efforts of the past if we fail to push back against bigotry in all its forms."" —@POTUS #13thAmendment https:…","[30313925, 1536791610]"
519894492657102848,1412787480,[],,738,349,"Lew, a business owner in St. Louis, knows that a fair wage is a key part of the American dream. Check out his story: http://t.co/UEDBwWAcpq",[]
520970748358590464,1413044080,"[""actonclimate""]",,1301,755,"If you support cutting carbon pollution from the air, add your name here: http://t.co/J3VdLnxhSB #ActOnClimate",[]
596662390546042880,1431090374,[],,2632,1431,"The economy added 223,000 jobs in April—that's a record 62 consecutive months of private-sector job growth.",[]
446663895759872000,1395327946,[],,447,378,LIVE: President Obama is delivering a statement on Ukraine. http://t.co/5l8K0TRAG0,[]
535904556291338240,1416604577,"[""immigrationaction""]",,2233,1495,“This is not just a Latino issue. This is an American issue.” —President Obama #ImmigrationAction,[]
600753673560424448,1432065811,[],,3930,1538,This is why health care reform matters. http://t.co/vc3R43veNk,[]
504647157526183937,1409152232,"[""actonclimate""]",,1017,607,"""A climate for change: America should not wait while the world warms"" More from @washingtonpost: http://t.co/3v3lfyO1q8 #ActOnClimate",[2467791]
443509742552358913,1394575937,"[""getcovered""]",rt:443371329459605504,0,573,"RT @NancyPelosi: 1. Watch this interview: http://t.co/rThpud83Ns
2. #GetCovered    
3. Avoid spider bites",[15764644]
553360228071522304,1420766333,"[""freecommunitycollege""]",rt:553327012740206592,0,6320,RT @WhiteHouse: BREAKING: Watch President Obama announce his #FreeCommunityCollege proposal → http://t.co/8YTKdPKa7U https://t.co/vtM3wGwEUd,[30313925]
500316405057597440,1408119701,"[""thisiswhy""]",,753,275,Getting covered made Jason so happy he wanted to tell everyone: http://t.co/Jaqm5wffZl #ThisIsWhy,[]
604048036478640128,1432851249,"[""actonclimate""]",rt:604004581165543424,0,1307,RT @WhiteHouse: A sea level rise of just 1 foot could cost America $200 billion. It's time to #ActOnClimate: http://t.co/lU2sqP1U2v http://…,[30313925]
533028638455627776,1415918905,[],,676,230,No kidding: Every grassroots donation will be matched by another @OFA supporter. Chip in today: http://t.co/WgNwuWc3uj,[15667802]
646018471818493952,1442857780,[],,2006,1627,Climate change is real—and it's time to act. http://t.co/bjIcRhTniI (h/t @washingtonpost) http://t.co/U9HJCLVUGt,[2467791]
491251080206901248,1405958359,"[""mybrotherskeeper""]",,522,237,WATCH: President Obama is participating in a town hall at @WalkerJonesEC about the #MyBrothersKeeper initiative. http://t.co/5c5opiAthi,[180186068]
448211941735948288,1395697028,"[""getcoverednow""]",,480,408,We're one week away from the final 2014 enrollment deadline for health coverage. #GetCoveredNow: http://t.co/eKNx6X6tAM,[]
455747102581080064,1397493551,"[""actonclimate""]",,517,397,"Watch for free: The first episode of ""Years of Living Dangerously"" is available online. http://t.co/ZIfFsnyAuE #ActOnClimate",[]
494518590226178048,1406737394,"[""opportunityforall""]",,721,378,"""The decisions we made to rescue our economy ... all those things are starting to pay off."" —President Obama #OpportunityForAll",[]
674272338410668033,1449594027,"[""unitedonclimate""]",,2048,698,The world is standing #UnitedOnClimate. It's time to act. https://t.co/TRQStCSunY,[]
535900179543506944,1416603534,"[""immigrationaction""]",,1464,947,"""Our immigration system has been broken for a very long time, and everyone knows it."" —President Obama #ImmigrationAction",[]
491626509040234496,1406047868,"[""standwithwomen"", ""readytowork""]",,1579,1118,"""Let's make sure the next generation of women are getting a fair deal."" —President Obama on fair pay #StandWithWomen #ReadyToWork",[]
614096275118555136,1435246936,"[""acaworks""]",,2437,1329,"""The Affordable Care Act is here to stay."" —President Obama #ACAWorks",[]
