tweet_id,time,hashtags,type,faves,retweets,text,mentions
27479634842,1287178053,"[""psychoboom""]",,18,20,@iLoveeBrunoMars youve just been tweeted doll face #PsychoBoom!,[857186606]
311295117266915328,1363053514,[],,2515,2757,And beef jerky,[]
278340451298332672,1355196510,"[""sexdragon""]",,3419,3205,sometimes i got to remind everyone who the boss is #sexdragon http://t.co/p1KrGRNY,[]
210223503415316480,1338956163,"[""namethatjam""]",,693,1844,"If ya game is on give me a call boo.. 
If ya lovins strong gonna give my all to you #NameThatJam",[]
379725169503510528,1379368510,[],,5344,5646,Bruno Luh da streets!  http://t.co/KTvAZTioHd,[]
277413758979149824,1354975569,[],,3322,3187,Here's my list of demands for my dressing room. http://t.co/fkZSLs6c,[]
187708144716234753,1333588083,"[""askthedragon""]",rt:187708024138371073,0,352,RT @sa_CMB: @BrunoMars what's that most important thing in your life? #AsktheDragon,"[2591363964, 100220864]"
119943935316590593,1317431837,"[""singletear""]",,173,406,@natalirod203 yes :(   #SingleTear,[27084136]
305972953810628608,1361784611,[],,2111,3039,Ravioli Mercy,[]
105193653437337600,1313915096,"[""vfest""]",,101,411,And we're off!! #Vfest Round 2!! Oh le do it!!,[]
60156797679448065,1303177472,"[""hooligansinwondalandtour""]",,69,229,Now @JanelleMonae and I  have some Bizz to do in the States! #HooligansInWondalandTour Oopsy with a side of peppermint Shnoopsy!,[12266442]
499292668686393344,1407875623,[],,6248,3425,Do we just do it? Old school?,[]
664224647794311168,1447198471,[],,4769,2483,https://t.co/vglyb14yym LETS GO!! https://t.co/1nO7RTI2li,[]
119948862625562624,1317433012,"[""scoldthedragon""]",,138,402,really hoping you guys can read my answers... I might be doing this all wrong... #ScoldTheDragon,[]
363148449966858241,1375416312,[],r:247519744,1227,848,@crazygorillaaaa  i think its an insurance commercial with a camel walking around the office.,[2970978869]
230418212968341505,1343770957,"[""shavethewhales""]",,847,2210,If we shave them we can save them #ShaveTheWhales,[]
550825777261191168,1420162073,[],,6650,3038,Ay twittah.. vibe out wit me rite quick https://t.co/mixHheq9VE,[]
278347707351965696,1355198240,[],,4580,4499,shit just got real http://t.co/4N97SDhU,[]
55446983434969088,1302054565,"[""ruhroh""]",,687,3564,"Dear Philippines, The Hooligans have landed! #RuhRoh!!",[]
203669388472221697,1337393540,[],r:516283413,214,497,@ZoBbySquirrel Straight up!,[516283413]
446954765486809088,1395397294,"[""bangkok""]",,7901,7452,Rollin with the homies. #Bangkok http://t.co/qMiKD0tlcF,[]
165278847389007872,1328240522,[],,918,2412,Im trying to reply guys honestly.. i just really don't know how to do this shit,[]
267984262379212800,1352727401,[],,2255,6125,Do you know whats happening? Do you even understand? No! you know why? Because Its better if you don't,[]
74773081629007873,1306662266,"[""tourbustweets""]",,112,342,Why am I up? #TourBusTweets,[]
276281081395810304,1354705517,[],,1020,1434,http://t.co/UzfKJB5b,[]
270954284806467584,1353435510,"[""askthedragon""]",rt:270954108981223424,0,236,RT @CherryThirst: @BrunoMars here's an even better question than that!!! What sandwich filling is your favourite?  #AskTheDragon,"[173624711, 100220864]"
2249985953374208,1289371413,[],rt:2249294266499072,0,11,"RT @TheMarsArmie: @BrunoMars If I bock with you, will you tweet me back? &lt;3333","[162955687, 100220864]"
355430507774881792,1373576211,[],rt:355428764894769152,0,919,RT @kameronwhalum: Vote for Treasure on @106andpark   http://t.co/GHVVgEt3qf,"[26184837, 30309979]"
69183851146125312,1305329690,[],,64,148,"DA GAME HAS JUST RESTARDED!!! ""@phredleybrown""",[563797222]
378411109897617408,1379055213,[],r:716659153,965,621,@heyycaitlinj SO TRILL!,[716659153]
372779626403074048,1377712563,"[""moonshinejungle""]",,3525,3065,Orlando! Yall came to play Yesterday. Let's see what Tampa gotta say tonight. #MoonshineJungle,[]
94107157322141696,1311271869,[],,390,776,Good morning Hooligans! Did u guys pick up this weeks issue of Billboard Magazine yet? Well did ya? Huh? Huh? Yes? No?  CMON!! Love yall!,[]
119173375401787393,1317248121,"[""hooligans""]",,419,1508,Thank you guys for making it will rain top 10 on I Tunes.. #Hooligans,[]
71746164906659842,1305940593,[],,53,123,@JanelleMonae is KILLIN rite now!!,[12266442]
242814782363820033,1346726530,"[""askthedragon""]",,779,1231,RT @micheelleemars: @BrunoMars why can't you cant you come to my house and sing to me? #askthedragon  Look behind you...,"[257708037, 100220864]"
366719534649974784,1376267725,[],,2413,2167,Crossed over @kameronwhalum and @phredley today.... no big deal... You good doe?,"[26184837, 214384684]"
14363247259947008,1292259439,[],,76,194,OUR PETS HEADS ARE FALLIN OFF!!!! now watching Dumb and Dumber. This was my childhood..,[]
574080257264746497,1425706373,[],rt:574079937784758272,0,1001,"RT @sylviaraymond13: @BrunoMars  hope uve been enjoying ur life because u need to while ur young and healthy, just always take care of ur b…","[2324548556, 100220864]"
458769788186025985,1398214215,[],,10501,5672,Aloha Hawaii. Thank you for 3 amazing shows. I can't wait to come back home. Miss you already,[]
353234090650120192,1373052544,"[""montreal""]",,6383,4859,#montreal http://t.co/1IiobXWYfQ,[]
456992817001140224,1397790552,[],r:457536547,2763,1384,@SmoreBruno fo real?,[457536547]
109033485506838528,1314830583,[],,143,515,Listening to Back To Black on repeat  leading up to the VMAs and i just wanna tell @iamMarkRonson what an amazing producer I think he is.,[2888926040]
518317545938755584,1412411507,[],,8504,5268,!!!!!!!!!!!!!!,[]
549695991402622976,1419892711,[],,9578,4505,The internet is wild man. I can only kick it for a few..then it gets weird ... if you need me ill be on my beeper. Page me pyymmmp!,[]
305454946562740224,1361661108,[],rt:305450601242836993,0,878,"RT @jamareoartis: I'm enjoying seeing the success behind all of the promo we've done the past 4 months, but I have to admit I'm most exc ...",[57377201]
109556156053200896,1314955197,"[""askthedragon""]",rt:109555944781918208,0,200,RT @inspiremeMC1123: @BrunoMars what is the worst song u ever listened? #ASKTHEDRAGON :P,"[273900649, 100220864]"
238348553389490176,1345661698,[],,3159,6142,Todays the day i write the greatest song EVER!!!,[]
433512780931411968,1392192475,[],rt:433512735146770433,0,1004,RT @Erin_BrunoMars: @BrunoMars I didn't think your jokes could get any worse,"[296333078, 100220864]"
56917821443145728,1302405240,"[""damnyoutechnology""]",,159,538,I really need to learn how to tweet a video cause i got some gems on this phone.. #DamnYouTechnology,[]
407225715034046467,1385925151,[],rt:407222681356873728,12,3336,RT @CNNMex: El cantautor @BrunoMars anuncia conciertos en México para 2014  http://t.co/jEBteejgR5,"[108740292, 100220864]"
98180788406849536,1312243098,"[""bilingualtweets""]",,1369,5055,Eu não posso esperar para realizar no Brasil! Eu prometo que vou voltar em breve #bilingualTweets,[]
318186674305781760,1364696589,[],r:1032960674,874,873,@xlouisbom Uhhh Why aren't you talking about hairs? WTF??,[1032960674]
439929157976215552,1393722259,[],,9611,6902,BEWARE!! http://t.co/l7RZmf2glZ,[]
390573196455325696,1381954881,"[""gorillamusicvideo""]",,3642,3282,Can we take a second to talk about @BecauseImFreida in the #GorillaMusicVideo. Make sure you follow her and tell her how awesome she is!,[631232364]
491109876450344961,1405924693,[],,6489,3682,Joe and Sal came down to the show in Albany tonight. If y'all ain't seen the show Impractical Jokers… http://t.co/qR1UQUWVKs,[]
104694962523881473,1313796198,"[""constipatedswag""]",,111,240,@LennyKravitz I knew I wasn't alone.. I make that same face when I play drums.. #ConstipatedSwag,[23006794]
385317776056791040,1380701891,[],,4837,5347,Tonight The Moonshine Jungle Tour takes over Europe. Belfast your first! lets set this motha F#cka off right!,[]
211607888005832704,1339286226,[],r:143592990,244,602,@KaylaDz VAIN is my middle name,[143592990]
270578031683313664,1353345804,"[""moonshine""]",rt:270577663956107264,0,461,RT @kameronwhalum: Do you have #Moonshine yet?,[26184837]
115277496605360130,1316319271,[],,234,1026,HOLY SHIT!!!!! ARE YOU WATCHING THIS FIGHT!!!!! What Just happened???,[]
278429787658285056,1355217809,[],,1410,2516,Its out!!!!,[]
53206786810974208,1301520461,[],rt:53206580900012033,0,86,"RT @RnoOoELFKSA: @BrunoMars ok we go to doit , but we still waiting what does u gonna to do",[100220864]
538433835268988928,1417207604,[],r:1373675918,2054,746,@DearDejaa__  Yup!!! Got Ya!,[1373675918]
