tweet_id,time,hashtags,type,faves,retweets,text,mentions
290620354777473024,1358124266,[],,4028,3308,"Girls, Baked Beans on toast and the Golden Globes. Happy happy happy",[]
558591219249741825,1422013499,[],r:88776580,922,305,@girleffect @UN_Women Hopefully there will be more opportunities for these young women to pull themselves out of poverty.,"[88776580, 17137628]"
632119997473652736,1439544126,[],,13307,3067,Awesome @heforshe developments underway.... So good... I'm having a hard time keeping 🙊,[2327359038]
447113095731638273,1395435043,[],r:1260092402,1405,434,.@OhForFawkesSake I always worry about whether I gave my best. I knew with Darren he would push me to deliver my best performance.,[1260092402]
375709648592318464,1378411135,[],,18121,11526,People chatting loudly in the cinema I am in. If you don't stop talking very soon I will start pelting you with Maltesers.,[]
269181518948204544,1353012849,[],,35249,60439,PoooooottttttteeeerrrrHeaaaddss!!!!!!!!!,[]
405797660595994625,1385584676,[],,4079,2342,Beating Hearts - King Charles,[]
515125099620347904,1411650368,"[""HeForShe""]",rt:514902603659239424,0,1926,"RT @RealKiefer: I am #HeForShe. Inviting all men to stand up for gender equality. @HeforShe 
http://t.co/mr77cBh2WR","[259392555, 2327359038]"
558567228090888192,1422007779,[],r:65803048,476,156,"@airpacee When I started to read impact stories sent to the UN Women Website. One man from Cameroon quit his job, sold everything he had and",[65803048]
514550673459798016,1411513415,[],,10004,3515,http://t.co/tdcpRMyT32,[]
651925395047059456,1444266101,[],,6409,1681,I just watched the full video of your speech.What an amazing public speaker you are.I am so very proud to call you my friend. @DouglasBooth,[2305150285]
558581098029256704,1422011086,[],r:47986901,556,162,@xXsanahXx @UN_Women @HeforShe @e_nyamayaro @phumzileunwomen thank you !!!!,"[47986901, 17137628, 2327359038, 1390830948, 1585589059]"
573918207435784197,1425667738,"[""Bluestone42""]",,25262,9825,He looks very serious here but is hilarious in #Bluestone42. Watch @Mattdavelewis on @BBCthree Monday@10pm. So Good!! http://t.co/u6y1mkCyxm,"[23464695, 166215202]"
241719865692549120,1346465481,[],,6581,5263,http://t.co/1HV83S4q,[]
258400407481634816,1350442432,[],,2099,3310,And when I talk about dating 99.9 % of the time I am just being silly and making a joke,[]
514551248867971072,1411513552,"[""heforshe""]",,7774,2509,#heforshe http://t.co/bO8QlbC8HU,[]
633675971481223168,1439915099,"[""gotboth""]",,13505,5228,"while moral courage is the ability to act rightly in the face of popular opposition, shame, scandal or discouragement. @KeeganHirst #gotboth",[199620581]
251938604392271873,1348901818,[],rt:251900495633993728,0,3134,"RT @daisyfreshgirl: “And in that moment, I swear we were infinite.” 
― Stephen Chbosky, The Perks of Being a Wallflower",[633220272]
473270249585119233,1401671395,[],rt:473126661572284418,0,3585,"RT @DerekBlasberg: Wait, what? It's June already?",[29123186]
