tweet_id,time,hashtags,type,faves,retweets,text,mentions
594738696366084096,1430631729,[],,257,61,Had so much fun playing Toronto tonight! Here's a little shot of some of you waving bye to our van :) Love you guys!! http://t.co/387vRVxO2U,[]
454510004674908160,1397198604,[],r:934066694,5,0,@sararatay That's too awesome! Congratulations! :1,[934066694]
479507832090263552,1403158550,[],,150,131,"""@Heriska48_ChiBi: @Cherrybelleindo with @SamuelTsui &amp; @KurtHSchneider http://t.co/uAheOuI2ij"" so much fun! :1","[260802176, 50352671, 200638031]"
479609911395901440,1403182888,"[""lizardbrother""]",,144,119,Disappointed we had to leave indonesia but I made a friend there :1 #lizardbrother back in awesome KL now http://t.co/lB8lJx358V,[]
484974869881556992,1404461994,[],r:68683572,3,1,@ROWIEner i like it mild.. like in between :1,[4275234432]
482333399760117760,1403832218,[],r:74988676,11,1,@TheHamSammich we'll try to come back soon! :1,[74988676]
499886256491601920,1408017145,"[""epicpattycake""]",,89,16,"""@GitaNagara: We got this! #EpicPattyCake Kurt Schneider :1 https://t.co/BJF9eyvlkY @KurtHSchneider"" i LOVE it! :1 do that patty cake!!","[1248399547, 200638031]"
526211718662213632,1414293624,"[""comingsoon""]",,346,165,"The summer pop medley is coming!!!!^!;#, $*!#,!! #comingsoon :1 http://t.co/bi99gEHtTY",[]
421501875813232640,1389328852,[],r:2165099337,4,0,@KaitySnowFlake Awesome night then! :1,[2165099337]
482105906134396929,1403777979,[],r:84817234,2,1,@iamaprincess01 awesome shirts! :1,[84817234]
455124846889140224,1397345193,[],r:1716397939,6,1,@_lovxtic haha awesome! :1,[]
408463641587888128,1386220295,[],r:1169713574,3,1,"@_alissia_ Haha, it was mildly stressful! Lots going on in it! :1",[1169713574]
409054128326049792,1386361078,[],,58,27,Wearing each other's jackets :1 http://t.co/CXkXfElsBy,[]
549420435591266304,1419827014,[],r:2581711368,7,1,@SamTsuiMY haha... i haven't played in a while :1,[2581711368]
484966140028788736,1404459912,[],rt:484721007786094592,0,38,RT @macykatemusic: Thank u guys so much 4 the luv on the new cover!:) such an honor workin with these 2. @KurtHSchneider @tylerwardmusic ht…,"[545417634, 200638031, 18516444]"
430864024943616000,1391560963,[],r:2281228867,4,0,@ChesterChan4 Haha not too much multi-tasking I can do though! Still haven't mastered how to play a guitar and a piano at the same time..LOL,[3259299010]
478830806417158144,1402997135,[],,132,38,"""@intanwantan: @KurtHSchneider got 10 tickets for me &amp; my friends just to see you &amp; @SamuelTsui! 😊 http://t.co/YHv8VWqot9"" see ya there! :1","[321204447, 200638031, 50352671]"
613797352558608384,1435175667,"[""ytff""]",,839,334,Just landed in Manila!!! Slept so much on the flight :) great to be back in the Philippines! #YTFF http://t.co/KL6nK18aoK,[]
500159505637064704,1408082293,[],,234,50,We tried to go on the ferris wheel but they say it's closed :1 http://t.co/rVW3Ay3gxX,[]
495509930225700864,1406973748,[],,250,77,Late nights by the ocean.. :1,[]
473329694318661633,1401685567,[],r:1725313670,9,1,@SamTsuiSpain good luck! You'll rock it :),[1725313670]
526284323553411072,1414310935,[],,285,103,Uploading the 2014 summer pop medley in 7 hours!! I think you guys will like it :1,[]
538091556075753472,1417125998,[],,124,40,Happy turkey day everybody!!! Here's a little still from the new one-take video I just posted :1… http://t.co/J2x5v79dTL,[]
589285536046518272,1429331594,[],,349,100,GUITARSSSSS! :1 http://t.co/nY8FfAkrDZ,[]
663540481993801728,1447035353,[],,170,79,NEW VIDEO!! I play a competitve round of Pizza Tennis with some friends! :) Share if ya like! :1 https://t.co/SV3hgeQDtH,[]
481622041561284608,1403662617,[],,147,57,KL memories.. playing tonight and tomorrow in manila! Gonna rock so come on out :1… http://t.co/alXgR7A5uH,[]
602803211288719361,1432554459,[],,362,130,Finished reading a bunch of fan letters I got in Singapore..You guys are the sweetest.. A couple brought tears to my eyes :1 love you all ❤️,[]
440302632251305984,1393811302,[],r:7516432,3,0,@BeingBrian What'd you think! :1,[7516432]
468846724346167296,1400616744,[],r:108862703,8,1,@nllhzsflora1 We can't wait either! :1,[108862703]
639742874775490560,1441361561,[],,351,77,I think @ajrafael is asleep... http://t.co/j6Vtmmy0ce,[18657864]
543682788403474432,1418459052,"[""youtubespacela""]",,136,52,Big news! Almost as big as this thing of mouthwash at #YoutubeSpaceLA I'm directing a livestream this… http://t.co/vFu8BBhHjQ,[]
469731096683626499,1400827595,[],,116,36,Practicing for our show at UCSD tomorrow night! :1 @samueltsui @acousticjason http://t.co/qBnAlUorSs,"[50352671, 1174694042]"
484273389574447106,1404294748,[],r:18657864,10,2,@ajRAFAEL @Hai_L9 lezdoit! Hai I haven't played at all on tour I need to get back on my game!! :1,"[18657864, 710300755]"
496203928556417024,1407139210,[],,188,70,Proud of @macykatemusic :1 on talent i think she deserved to go through tonight on Rising Star. she didn't but she kept her head up TeamMacy,[545417634]
495623943995158528,1407000931,[],r:550072792,10,1,@samtsuixkurt ok! :1,[550072792]
506727521048477696,1409648230,[],r:93140121,7,2,@vickimised you'd be surprised how many girls play league :1,[93140121]
591248051840233472,1429799495,[],r:619000711,11,0,@chansinling haha not much sleep...,[619000711]
496145254618517504,1407125221,[],,139,41,On the set of Rising Star and my friend and collaborator @macykatemusic needs your vote to stay on the… http://t.co/IJTLg5gZnD,[545417634]
441737899441004545,1394153496,[],r:199731461,12,1,@BrokenSong25 I just knew music was what I wanted to do! :1,[]
490338830105341953,1405740861,[],r:1231753898,6,1,@Kayla_Lamana yup I do :1,[1231753898]
