tweet_id,time,hashtags,type,faves,retweets,text,mentions
662493046647291905,1446785625,[],r:48421626,2,0,@melanielost BEST ❤❤❤🐦🐦🐦🐦🐦🐦,[48421626]
664895664581537792,1447358454,[],r:20416184,1,0,@MelissadelaCruz see ya sooooon!!!,[20416184]
655571425986781184,1445135382,[],r:136528869,1,0,@elmify @josieangelini @LeilaSalesBooks me too 😢😢😢,"[136528869, 212406490, 194805322]"
652274651637411847,1444349370,[],r:178411345,0,0,@rklipman hi :))))))))) and thank you!,[178411345]
646537240860979200,1442981464,[],r:766175630,1,0,@BailliePuckett CUTEST!!!!!,[766175630]
667348106900582400,1447943162,[],r:35916009,3,0,@Marie_Lu @PageforPage let the world burn!,"[35916009, 713203124]"
669310468184514560,1448411025,[],,28,3,"📷 the-gabardine-fox: Finally completed the “Six of Crows” inspired purse. @lbardugo It is hand dyed,... https://t.co/0z9PHASeBp",[24490456]
652297175150514176,1444354740,[],r:30286457,1,0,@MemoAndradee ha!,[30286457]
669288771054104577,1448405852,[],r:1446404305,1,0,@RoRomanello YUP.,[1446404305]
670815259465138176,1448769795,[],r:22592364,0,0,@kierstenwhite I'm not quite in the mood for teen wolf... Having a goldilocks moment,[22592364]
644690638563180544,1442541200,[],,43,1,Today's acquisitions. @morganfahey is officially an enabler 💍👍 😭 💕 http://t.co/YjiMizOkRv,[29547150]
671503471300841472,1448933878,"[""wattpad4""]",r:2184676818,15,1,".@alexkarola SO MUCH. That first draft is the barest sketch of scenes, moments, bits of dialogue.  #wattpad4",[2184676818]
656964527381192704,1445467523,"[""californialove""]",,15,1,"Shake it, shake it, mama https://t.co/l3LGlnCLoj #californialove https://t.co/RVhMG1qk31",[]
645992443813302273,1442851575,[],r:18966382,1,0,@nymbc 😃😃😃📖📖📖,[18966382]
669286923568029698,1448405411,[],,1,0,"@RoseCallowoah I watch Netflix on my tv, but yes.",[]
643822812054982656,1442334294,[],r:22779172,1,0,@AHintofMystery Henri? SOUNDS FRENCH.,[22779172]
671196313061494784,1448860645,[],r:2180170945,4,0,@JessicaJones taciturn JJ approval is the best possible approval,[2180170945]
644205766719639553,1442425598,[],r:3314266265,1,0,"@FanboyjoshJosh it is glorious, no?",[3314266265]
651487434207657984,1444161683,[],r:189524913,0,0,@midnightbloom04 @LeilaSalesBooks @FierceReads @elmify @josieangelini hooray!!,"[189524913, 194805322, 425162472, 136528869, 212406490]"
662681719028342785,1446830608,[],r:218780262,0,0,@EMentior you too!!! and I'm glad you're unstoppably bionic now &lt;33333,[218780262]
668609058782519298,1448243796,[],,4,1,"And I will say that I respect the show's ambition, and unlike some, I actually quite liked the visuals.",[]
644236356244238336,1442432891,[],,4,1,"Plus I'll be signing stock at Porter Square so siiiiigned copies, jes? Oh JES.  https://t.co/hmWaVK06qo",[]
664607019614101504,1447289635,[],r:29856059,2,1,@mstohl ❤❤❤💥💥💥 @Marie_Lu @AmieKaufman @misterkristoff @NicolaYoon @VictoriaAveyard @rainbowrowell @EllenHopkinsLit,"[29856059, 35916009, 70307729, 135765868, 2315734417, 292737255, 16347112, 21891305]"
669288830990729217,1448405866,[],r:130046390,0,0,@DanielaReyes199 so good! and maybe next season :),[130046390]
648508302842707972,1443451402,[],r:70307729,4,0,@AmieKaufman @Marie_Lu to be fair that was a highly gussied hair night!,"[70307729, 35916009]"
646535492847079425,1442981048,[],,9,1,"Night twitter says, ""That's my kind of drama."" https://t.co/G54zXDesVB",[]
652014418893520896,1444287325,[],r:329495717,3,0,@AdamSilvera @libbabray @ransomriggs *sings a mournful tune while continuing to eat cape*,"[329495717, 29782295, 41527252]"
644731074526863360,1442550841,[],r:90804053,2,0,@apedulla what?? Don't you get the US edition??,[90804053]
660132841766932480,1446222908,[],r:239765017,0,0,@_seleneg so glad you enjoyed!!,[239765017]
644205431179448320,1442425518,[],r:188917859,1,0,@LSMatson oh heyyyyy. they look nice together :D @fiercereads,"[188917859, 425162472]"
671500120051978240,1448933079,"[""wattpad4""]",r:369593583,13,1,.@soapyburns thank you &lt;3 I'm very proud of those. #wattpad4,[369593583]
663548817581588480,1447037340,[],r:189033329,1,0,@hafsahfaizal thank you ❤,[189033329]
646867178872922112,1443060128,[],r:1053334934,0,0,@NovaBlogder I'm giving it to the lovely FR ladies to put up soon :D,[1053334934]
658801350130712577,1445905456,[],r:20811938,1,0,"@robynschneider @naturallysteph ahahaha ""I Overpaid for this Gum Before I Realized I Had Gum""","[20811938, 27707938]"
663439975753498626,1447011390,[],r:182998349,1,0,@kiacchristian 😃😃😃💥💥💥,[182998349]
646775058443075584,1443038165,[],r:48428463,0,0,@hhavrilesky why thank you!,[48428463]
668611740142313472,1448244435,[],r:84251789,2,0,"@lainitaylor @ryangraudin I loved first season of the 100, liked second season but... it had flaws.","[84251789, 84745693]"
671510472424747008,1448935547,[],r:29995782,1,0,@saladinahmed ah!!! thank you so much. @djolder,"[29995782, 71082732]"
664892150010646528,1447357616,[],,42,19,And that's a shame because artists coming up need the most support.,[]
