tweet_id,time,hashtags,type,faves,retweets,text,mentions
612841205013966848,1434947703,"[""soon""]",,1865,653,NEW VIDEO!!!  Tomorrow morning @ 8am (pacific time) @ http://t.co/fnKWTZsvNt #soon,[]
620062668590743556,1436669435,[],r:19017237,725,177,@ToriKelly just in case you didn't find a link yet... 😉 https://t.co/f9L0JBRVsk,[19017237]
593757455508643840,1430397783,"[""PTXLON""]",rt:593756577431191553,0,59,RT @mitchs_nipple: On the train on the way to the @PTXofficial London show!! IM SO EXCITED #PTXLON,"[3157649939, 345522684]"
639803780213567488,1441376082,[],rt:639803690862252033,0,1087,RT @scotthoying: NEW @PTXofficial VIDEO! 'CANT' SLEEP LOVE' http://t.co/c2QyLMifdX,"[14810162, 345522684]"
639651096546291713,1441339680,"[""CantSleepLove\u200c"", ""PENTATONIXALBUM""]",rt:639650959501619200,0,315,RT @crissftgrassi: mood bc #CantSleepLove‌ #PENTATONIXALBUM @PTXofficial http://t.co/jE6PF51Ghn,"[4508699358, 345522684]"
578346258764419073,1426723467,"[""PTXNYC""]",,1004,147,New York!! It's almost time!! Share your photos using #PTXNYC!,[]
634585030916870144,1440131836,"[""PTXCheerleader""]",rt:634584266572173312,0,35,"RT @jojoredpaula: Bought it and will play it on repeat for the weekend! Perfection as always!
#PTXCheerleader @PTXofficial http://t.co/kNLl…","[218976673, 345522684]"
642073402056925184,1441917202,[],,1504,340,Get a few more extra (and exclusive!) items when you pre-order our album on @FanjoyCo... ;) http://t.co/hDm0Wp8VoV http://t.co/1CmLmFmysn,[2675221195]
651758964414132224,1444226420,"[""CantSleepLove""]",,1866,544,Sing along with @ScottHoying in today’s special version of the music video for #CantSleepLove! http://t.co/VOox20k69O,[14810162]
656318789965864960,1445313567,"[""PTXSlumberPartyKO""]",r:251722559,48,5,@Cunegonde88 you guys are the greatest!! We are so lucky to have you!! #PTXSlumberPartyKO,[251722559]
577263959050420225,1426465427,"[""PTXonYahooLive""]",rt:577263382098657280,0,32,RT @breanna_girl: Basically went full on fangirl during Standing By. Not even embarrassed. #PTXonYahooLive,[612919714]
596250881051533312,1430992262,"[""OnMyWayHomeProject"", ""PTXGLA""]",,1042,138,"You got the last signed virtual set list of the tour, @KatMcC94! 😍🎉 #OnMyWayHomeProject #PTXGLA http://t.co/iFwPaWlS9q",[2982326379]
594929652222861312,1430677257,"[""AskKO""]",r:1058488070,103,8,@PTXINDO a gooood amount. #AskKO,[1058488070]
659422578667163648,1446053568,[],,4192,1039,"Hello, France🇫🇷!  Watch us perform our new single ""Can’t Sleep Love"" at 20h10 tonight on @LPJofficiel @canalplus!💕 https://t.co/xzc6UOlmts","[626384623, 326698989]"
595242053006655489,1430751739,[],,1670,347,It's @MitchGrassi's turn to take over the account today to answer your questions. Just three hours away! http://t.co/j0jx17gRSb,[39656682]
644933014904942592,1442598987,"[""CantSleepLoveVideo""]",rt:644932973452595200,0,54,RT @amyeshoemaker: I'm in love 💕🎶 #CantSleepLoveVideo @PTXofficial http://t.co/78eCTmLWNo,"[425760822, 345522684]"
585261249841143809,1428372130,"[""OnMyWayHomeTour""]",,729,201,Jakarta! Tickets for the #OnMyWayHomeTour are now on sale! Get them at http://t.co/ZLY6d1xqv7!,[]
646445314807742464,1442959548,"[""ShazamPTX""]",,700,96,Talk about dedication! THANK YOU! Followed :) #ShazamPTX https://t.co/WZ4WAceVxc,[]
656928796277248000,1445459004,[],,897,137,"Thank you, @officialellenk! We cannot WAIT to sing some Christmas jingles with you in December! https://t.co/uu3NqxVuMS",[20171251]
634521655008731136,1440116726,"[""PxPSD"", ""PieceByPieceTour""]",,1393,183,Last weekend in San Diego was a night to remember! Photo by @gvnghrt. #PxPSD #PieceByPieceTour http://t.co/XaSId3TxbO,[90894136]
605835766883704832,1433277477,[],rt:605388409939435520,0,119,"RT @FlyFM958: .@PTXofficial was in Malaysia!

https://t.co/fKudHBFViP","[34834349, 345522684]"
644925339890679808,1442597157,"[""CantSleepLove""]",,704,155,Thank you @ComplexMag for the premiere and thank you @Official_Tink for being part of #CantSleepLove!! http://t.co/zMLydthWAY,"[13049362, 246015445]"
618867661846360064,1436384523,"[""LoveYouLongTime""]",rt:618867164330741760,0,138,RT @jsullivanmusic: .@PTXofficial &lt;3 #LoveYouLongTime :) http://t.co/tVveXLHzUp,"[23458520, 345522684]"
656323146769788928,1445314606,"[""PTXSlumberPartyKO""]",rt:656323085885292544,0,20,RT @ellaaaaa13: @PTXofficial You never fail us!! Really loving it! #PTXSlumberPartyKO,[345522684]
633067697400512512,1439770075,"[""PxPLV"", ""PieceByPieceTour""]",,1560,232,Enjoyed our time in Las Vegas last night. THANK YOU!!! Photo by @sunshinehoying. #PxPLV #PieceByPieceTour http://t.co/eZOWexoEJ3,[868993729]
592802696094162945,1430170151,[],,210,35,@juustlikekamii HAPPY BIRTHDAY!! We love you and can't thank you enough for the support you give us. ❤️❤️❤️,[430234661]
639129414182158336,1441215301,"[""PENTATONIXALBUM""]",rt:639129151157456896,0,62,RT @idkscomiche: @PTXofficial rose gold          #PENTATONIXALBUM,"[2624257264, 345522684]"
594204031112880128,1430504255,[],r:3039623855,70,12,@versatrxyler @kirstin_taylor YES,[33315233]
625514848042905600,1437969335,"[""PieceByPieceTour"", ""PxPCLA""]",,1461,438,What a night Michigan! #PieceByPieceTour #PxPCLA http://t.co/ZOqrVRmk4b,[]
655893822191218688,1445212247,[],rt:655891740067389440,0,411,RT @rozzicrane: GUYS HELP @PTXOFFICIAL MAKE HISTORY AND MAKE THEIR ALBUM THE 1ST A CAPPELLA ALBUM IN HISTORY! Get it get it!! http://t.co/0…,"[85498824, 345522684]"
664247246976757760,1447203859,"[""\u30da\u30f3\u30bf\u30c8\u30cb\u30c3\u30af\u30b9\u6765\u65e5\u306a\u3046""]",rt:664238643079352320,0,408,"RT @PTXofficial_JP: 【ペンタトニックス→""スッキリ‼︎""】
まもなく登場！
スコット、ケヴィン、ミッチの直前写真をお届け！
カミングスーーーーン！！
@ntv_sukkiri #ペンタトニックス来日なう https://t.co/VNKjSWiK7A","[3233191699, 1373690930]"
663037939736162304,1446915538,"[""Pentatonix"", ""StarryNightSF""]",rt:662895038725234688,0,153,RT @Star1013: #Pentatonix is coming to the Bay on 12/5 for #StarryNightSF! BE THERE! @PTXofficial is gonna kill it! Buy tix NOW at https://…,"[21428385, 345522684]"
646453733237198848,1442961555,"[""ShazamPTX""]",,872,152,"Keep your screenshots coming, we'll be doing this for another 20 minutes! #ShazamPTX",[]
