tweet_id,time,hashtags,type,faves,retweets,text,mentions
10335370590,1268334405,[],,29,37,"after the show, my intern jay hit me with a restraining order, but in a non-sexual way",[]
13983230436,1273852386,[],,9,10,the chutzpah on that peter grosz. gotta remember to fire that guy,[]
69009235282890752,1305288058,[],,8,136,In DC? Free at 4pm? Meet me today at the FEC: http://bit.ly/PACattack. Or just send cash with a friend.,[]
653009057247293440,1444524466,"[""punchbowloflightning""]",,386,80,"It's all true, @PFTompkins !!!
http://t.co/6pqhGgNzvI #PunchBowlOfLightning",[17732153]
218061302441066496,1340824840,[],,358,1133,"If I had one wish, it would be for self-drying pants. Wait -- no! Unlimited wishes! How do I return these stupid pants?!",[]
12583824100,1271865244,[],,75,145,why isn't there a name for the meal between breakfast and brunch?,[]
94154011825025024,1311283040,[],,306,1750,Only 25% of American students have passed their geography test. Really? Even the ones living in West Dakota?,[]
180664041717514240,1331908638,"[""inmyheart""]",,180,875,Rick Santorum wears a fireproof leotard under everything. #InMyHeart,[]
76493097730711552,1307072350,"[""ivebeenhacked""]",,75,244,I cannot say with certitude that this is not part of my body. http://tinyurl.com/5wqaeqt #ivebeenhacked,[]
217804562810146816,1340763629,[],,305,937,"Summer movie idea: take all the sequels that are out right now, and make movies about their backstories.",[]
174615390519955456,1330466527,[],,150,448,"Tonight is my 1,000th show! Beat that, ""Time-Life Presents: Sounds of the '60s"" infomercial!",[]
68860988065193984,1305252713,[],,26,60,Colbert Nation: watch end of tonight's show- important message. Get your decoder rings out!,[]
57884637875290112,1302635747,"[""notintendedtobeafactualstatement""]",,84,313,Jon Kyl actually prefers Hydrox to Oreos. #NotIntendedToBeAFactualStatement,[]
481644424142004224,1403667953,[],,3004,1420,"Tried to tweet earlier about my new, side-effect-free sleep aid, but unfortunately my thumbs were snakes.",[]
400812165180825600,1384396041,[],,276,156,2NITE: My guests are gospel group The @BlindBoys of Alabama. They're about to meet the Tone-Deaf Boy of South Carolina. @ColbertReport,[91377691]
2943006281830400,1289536642,[],,70,198,"Tweet don't fail me now! Twitters never win! Oh no, I can't control my Shalit hands. Make it stop! Or should I say, Control Alt De-tweet!",[]
