tweet_id,time,hashtags,type,faves,retweets,text,mentions
639622711338266624,1441332912,[],,380,263,Buy a goldfish; wait. http://t.co/KCBaJNAWBy http://t.co/ANbunIdPHu,[]
626595611119194117,1438227009,[],,302,205,Local Muppet Held For Questioning In Chicken Sex Ring http://t.co/nWESEJwTPu,[]
628227697651675137,1438616129,[],,66,30,Editorial Cartoon: 'Sun Burned' http://t.co/3ky3gtY12n http://t.co/lBa2eqf73X,[]
629472311914143745,1438912868,"[""gopdebate""]",rt:629470060860579840,0,309,RT @OnionPolitics: Fox News moderators sound the chime whenever ratings drop below an acceptable threshold http://t.co/FoS4WD3X4l #GOPDebate,[326507914]
671381542866919424,1448904808,[],,196,106,Editorial Cartoon: 'Crass Kringle' https://t.co/Q6wEUubJUG https://t.co/rAYMYIGcll,[]
674280094253367297,1449595876,[],,1053,614,"""You have to sleep at some point."" https://t.co/yo4jSbEelt https://t.co/Dt0qNstVju",[]
623181838379450368,1437413103,[],,904,426,Nephew Surprised By How Much Bigger Aunt Has Gotten Since Last Year http://t.co/aWjMB83Cwn http://t.co/Y7Q2dfq7a3,[]
640177659666931712,1441465222,[],,194,77,STRONGSIDE: Knows how to hit it hard without hitting it so hard it goes out of bounds http://t.co/RqUjI7QRku http://t.co/MYNe4JgpmC,[]
639129884221177857,1441215413,[],rt:639123703612223488,0,162,RT @ClickHole: Progress! This Video Game’s Protagonist Is A Deaf Woman http://t.co/rPTlS9D8ye http://t.co/1yFi8bOWQF,[2377815434]
662090738180591617,1446689707,[],,148,101,Executive Recalls Booming Private Prison Corporation’s Humble Beginnings As Modest 6-Cell Facility https://t.co/8pHztoOsjj,[]
652542394097889280,1444413205,[],rt:652539801619578881,0,200,RT @OnionPolitics: Group Of Christie Campaign Deserters Found In Forest http://t.co/QcbqdQJZIw http://t.co/wCb34JdtY2,[326507914]
636319743130079233,1440545423,[],,396,225,Woman Overjoyed By Giant Uterine Parasite http://t.co/6eVjKqewpw http://t.co/WLAb0nZR71,[]
627935666035253251,1438546503,[],,505,239,Bloated Obama Delivers Press Conference From Couch Behind Podium http://t.co/BiXeSIR7aY http://t.co/iVkQXymy6d,[]
656167807240007680,1445277570,[],rt:656158642966671360,0,40,RT @OnionSports: Onion Sports presents its winners and losers from week six of the NFL season: http://t.co/taUg4cf0dF http://t.co/2Dnck86BMR,[159894847]
637301201269342212,1440779421,[],,736,470,Neighborhood Starting To Get Too Safe For Family To Afford http://t.co/lL1P5wd3Uo http://t.co/erqzftCLPq,[]
650456625669611520,1443915919,[],,357,209,Netflix To Temporarily Remove Every Movie Except ‘Hard Eight’ http://t.co/NHW0M3NtLL http://t.co/rlCNkRElFY,[]
639490237115297792,1441301328,[],rt:639487763977535488,0,196,RT @OnionPolitics: Frenzied Trump Supporters Admit They’d Be Just As Happy Tearing Him To Pieces http://t.co/XEu1RnaIw9 http://t.co/ca0yvNy…,[326507914]
670625795740692480,1448724623,[],,586,186,Brad Pitt Scampers Away From Script After Detecting Musk Of Chris Pine On Pages https://t.co/vFo0Uz2ysd https://t.co/RReMnTUtvb,[]
659487531327758336,1446069054,[],rt:659376508029554688,0,102,"RT @StarWipe: Check out the stars who have adopted the new trend of drinking hot, brown work water! https://t.co/kt2YpBrraL https://t.co/ek…",[183912855]
623509923171835904,1437491324,"[""whatdoyouthink""]",,361,163,Study: Cannabis Helps Heal Broken Bones http://t.co/SRsQjj32kH #WhatDoYouThink? http://t.co/7neSmAF7Vf,[]
673915472899870721,1449508944,[],,68,35,POLL: Who Inspired You Most In 2015? https://t.co/FB2rwPq5R5 https://t.co/xHNHnqOzPR,[]
629481961652817923,1438915169,"[""gopdebate""]",rt:629481814286041088,0,721,RT @OnionPolitics: Ted Cruz's biggest supporters: Those people from high school who got married when they were 18 http://t.co/uZC5JhZxNY #G…,[326507914]
632726137634951168,1439688641,[],,462,366,Arne Duncan Stressed About Preparing For Standardized Secretary of Education Exam http://t.co/0BE5AV31r3 http://t.co/PWdfK65wae,[]
652944397080920064,1444509050,[],,522,252,Childish 12-Year-Old Still Believes In Father http://t.co/8xUm4JOanZ http://t.co/15RURTa078,[]
661632958420426752,1446580564,[],,205,152,How Twitter Is Trying To Retain Users https://t.co/DSPLjb01dB https://t.co/7d9e32J5T9,[]
629697285287317504,1438966506,[],,624,341,Obama Practices Defiant Speech To Aliens Late At Night Behind Oval Office Desk http://t.co/NZmGqXyg8D http://t.co/e5gQX9s40i,[]
651886158323056640,1444256746,[],,1687,1206,Masochist Dog Enjoys Being Walked Around On Leash While Naked http://t.co/9UzdaZltxW http://t.co/SsnlUXw9Bh,[]
664106373395935232,1447170272,[],rt:664095279503667200,0,143,"RT @ClickHole: Travel to Boston and do tons of sin, with an emphasis on fucking and murdering.  https://t.co/Hp7jgrfIYj https://t.co/0WX90D…",[2377815434]
672804289799131136,1449244017,"[""whatdoyouthink""]",,592,351,Black Friday Sees Record Gun Sales https://t.co/1CqAxvpuxf #WhatDoYouThink? https://t.co/koyx51W95f,[]
657244442823401472,1445534260,[],,200,106,Stomach Sets Aside Synthetic Additives Until It Has A Few Minutes To Figure Out How To Digest Them https://t.co/I8mksBvHhg,[]
642102824244015105,1441924217,[],,426,170,Romantic Gesture Too Expensive To Waste On Current Girlfriend http://t.co/JNq7ulmB1u http://t.co/38uVM48yf8,[]
654123231750688768,1444790106,[],,1695,1007,Aides Gently Remind Hillary Clinton Not To Refer To Opponents As ‘Obstacles To Greatness’ http://t.co/nH18FHsW5s http://t.co/eZbThTyVXD,[]
627861432017682433,1438528805,[],,247,227,The Pros And Cons Of Going Vegetarian http://t.co/Sqvmd7xvBc http://t.co/OCEbBGyJS6,[]
636659546648375296,1440626439,[],,153,83,"To see more unmatched reporting, visit http://t.co/csf5QUbhed http://t.co/yezkHN2bJY",[]
629692241422880768,1438965304,[],,358,135,Coworker Retreats To Remote Corner Of Office To Complete Disgusting Food Order http://t.co/bkznttfXMg http://t.co/LB2cMvdcAe,[]
651777819224244224,1444230916,[],,662,252,Woman Always Thought She Would Have More Impressive Showerhead By This Age http://t.co/CqsNpfqyOx http://t.co/GHTaHv4OOE,[]
636623223417905152,1440617779,"[""waytogodiana""]",rt:636599804039139328,0,203,RT @ClickHole: Awesome! http://t.co/eQCFAX8CPI #WayToGoDiana http://t.co/D23E9lKn7d,[2377815434]
668890868284280832,1448310985,[],,485,210,Night Out Thrown Off-Balance By Friend Unexpectedly Bringing Someone https://t.co/Toz4mJDlsf https://t.co/dFQjdza18m,[]
647583970868232192,1443231024,[],,827,329,Gay Couple Weirded Out By Pope Francis Standing In Back Of Wedding Ceremony http://t.co/Wso3pto6U0 http://t.co/KJFZmK0ZuH,[]
676446786932838400,1450112456,[],,204,130,The freedom of the press to choose their corporate masters is what makes this country great. https://t.co/aQzi3xDGBl https://t.co/WDXSMcw3IV,[]
646828954079358976,1443051014,[],,312,138,Magic Ponytail Moves On After Bestowing Boon Of Youth On Area 54-Year-Old http://t.co/UdNLgw3qTM http://t.co/rC5tNq7s2o,[]
