tweet_id,time,hashtags,type,faves,retweets,text,mentions
614512676530733056,1435346213,[],,1655,1888,"""We guard against not just racial slurs, but also...the subtle impulse to call Johnny back for a job interview but not Jamal"" —@POTUS",[1536791610]
636989057235456000,1440705000,[],,490,456,Congratulations to Connecticut on becoming the first state to successfully end chronic veteran homelessness: https://t.co/GjZovVN4Kv,[]
624693129157963776,1437773422,[],rt:624691954224365568,0,19519,"RT @POTUS: Proud to be the first American President to visit Kenya. Happy to see family, and to talk with young Kenyans about the future.",[1536791610]
627560257582202880,1438456999,"[""yearinspace""]",rt:627554794392006656,0,383,RT @StationCDRKelly: Alrighty! Ready for your Qs. This should be fun. Be sure to include #YearInSpace. I don't want to miss a thing! TWEETC…,[65647594]
666638331430744064,1447773938,[],rt:666380033334841344,0,913,"RT @NASA: Katherine Johnson, to be awarded the Presidential Medal of Freedom, led a lifetime of math: https://t.co/hlkgf61PMQ https://t.co/…",[11348282]
667476278077861888,1447973720,[],rt:667476113426288640,0,93,RT @vj44: Thanks @Spotify!! Looking forward to the day when companies that adopt family-friendly policies no longer make news. https://t.co…,"[595515713, 17230018]"
659098822568755200,1445976379,[],,318,249,"""The goal we share is not just a country with falling crime rates...Our goal is a country with rising opportunity."" https://t.co/IyUzOzW5dr",[]
671306441811206144,1448886902,"[""cop21"", ""actonclimate""]",,1411,1667,"""There is such a thing as being too late"" —@POTUS at #COP21

RT if you agree: It's time to #ActOnClimate. https://t.co/yOwtiecSjb",[1536791610]
624234966881316864,1437664188,[],rt:624234756742508544,0,116,RT @TheIranDeal: FACT: There's no “secret” or “side” deal with Iran. Congress has what we have → http://t.co/jdwIiB7rAT https://t.co/UuFZ9K…,[3281853858]
649227891729895428,1443622966,"[""aidrefugees""]",,166,154,"From citizens to NGOs, everyone can play a role in helping refugees.
Here's how: http://t.co/1HwsI2MVd5 #AidRefugees http://t.co/Egq4Q2eIFF",[]
652625397343985664,1444432994,"[""breastcancerawareness""]",,2281,1814,"1 in 8 women in America develop breast cancer.
We lit the White House pink in their honor. #BreastCancerAwareness http://t.co/9JtbSZ3eWH",[]
644521071857795072,1442500772,"[""constitutionday""]",rt:644521008003596288,0,108,"RT @Simas44: 40 years later, I remember the pride my parents felt when they took the oath and became citizens. #ConstitutionDay https://t.c…",[1135399020]
641703033290760192,1441828900,[],,142,145,"""Workers who complete an on-the-job apprenticeship earn around $300,000 more than their peers who don’t."" —@POTUS http://t.co/BPuugOswpb",[1536791610]
646681186929115137,1443015784,"[""popeindc""]",,394,362,"""May our generation heed your call to 'never remain on the sidelines of this march of living hope.'"" —@POTUS to @Pontifex #PopeInDC","[1536791610, 500704345]"
643533358685941761,1442265283,"[""freecommunitycollege""]",,286,241,"""No young person in America should be priced out of college."" —@POTUS: http://t.co/ee7C4V5nbn #FreeCommunityCollege",[1536791610]
668475294982926337,1448211904,[],,418,429,"""Right now, refugees wait 18 to 24 months while the screening process is completed."" —@VP: https://t.co/mFekkOlxD0 https://t.co/d4AD1rxSOK",[325830217]
650433162623979520,1443910325,[],,24650,18779,"Happy Anniversary, @POTUS and @FLOTUS! http://t.co/XeCVPhd0l8","[1536791610, 1093090866]"
667806946615930880,1448052557,[],,189,231,.@NSCPress on the terrorist attack in Mali. https://t.co/MnlPWA3UMC,[369245377]
614514427984019456,1435346631,[],,1716,1685,"""History must not be a sword to justify injustice...but must be a manual for how to avoid repeating the mistakes of the past"" —@POTUS",[1536791610]
626522100287827968,1438209483,[],rt:626518605450981376,0,203,"RT @vj44: Thank you, Mayor Cranley. Our prayers are with the family of Samuel DuBose and the people of Cincinnati. https://t.co/wE34fpGIml",[595515713]
667846322880409600,1448061946,"[""lgbtchamps""]",,168,139,Just announced: @SecretaryCastro &amp; @VJ44 will host a Q&amp;A on #LGBTchamps Monday at 4pm ET with artists from @Transparent_TV &amp; @DanishGirlMov.,"[2695663285, 595515713, 2329150328, 3307223234]"
