tweet_id,time,hashtags,type,faves,retweets,text,mentions
579022060468359169,1426884591,[],r:84043985,1,0,@micahstubbs @albertocairo Is that on a projector in your living room? Awesome! Glad you appreciate HD; code legibility was impt for me.,"[84043985, 34255829]"
525334059430731777,1414084374,[],,2,0,What are some free tools for working (easily) with shapefiles? GUI preferred over CLI. QGIS? Others?,[]
487966555968249859,1405175267,[],r:241261415,2,1,“Colonizing the Clouds: Infrastructure territory and the geopolitics of the stacks” by @thejaymo http://t.co/U6t4vztcpd via @lloyd2nd,"[14103828, 241261415]"
652679561931436033,1444445908,[],,18,3,"Friday night, trolling @OReillyMedia site, found 1st review for D3 video. Thanks @airwwwave! http://t.co/pTupw1LfRF http://t.co/jqbha994y3","[11069462, 15247958]"
589197954650480642,1429310713,[],,1,0,"Hey, thanks, @udacity! https://t.co/qw4hBpidMR",[326912209]
520305349971038208,1412885436,"[""usfca""]",,10,11,The esteemed @visualisingdata will be visiting #usfca in two weeks. Join us!http://t.co/ayDDkVcCyT @baydatavis http://t.co/rBn0cw06UV,"[137712607, 382257360]"
553975429262872576,1420913009,[],,0,0,This explains so much,[]
644150614662864897,1442412448,"[""Eyeo2015""]",rt:643892268269719552,0,3,RT @eyeofestival: Video Up! Really pleased to share Sara Hendren's powerful talk from #Eyeo2015. http://t.co/dYo07hE533 | @ablerism @blprnt…,"[225138752, 101608829, 17013577, 743982534]"
463691753778733058,1399387703,[],r:1358783816,0,0,@RobertR1776 @OReillyMedia Fantastic! Let me know how it goes. :),"[1358783816, 11069462]"
516994488523165696,1412096066,[],,5,0,Special thanks to @riblah for visiting my Information Visualization class yesterday! Great projects on inequality: http://t.co/XgbftxBPle,[15574548]
464521801020612608,1399585602,[],r:2282519708,0,0,"@CheezeViz Looks nice! Maybe refine alignment/spacing of elements — when enlarged, it's a bit off. Also D3 not needed; could be vanilla SVG.",[2282519708]
477922852310507520,1402780662,"[""eyeo2014""]",,9,2,"“Oh, and another data layer: This is what it looks like when you connect big cities with red lines.” —@flight404 #eyeo2014",[16228965]
494860593741185025,1406818934,[],r:10690422,1,0,"@digitalcoleman I have been sitting on a Creative Gesture Camera for &gt;1yr for the same reason. Curious, but not enough to install Windows.",[10690422]
512465886897115136,1411016363,[],r:121478730,0,0,"@gjtorikian @brntbeer Fantastic, thanks! This will help others find the info more quickly in the future.","[121478730, 14563437]"
569613155241832448,1424641333,[],r:18987959,0,0,@epelde that's right! https://t.co/y2ekOU6COu,[18987959]
448625500357799936,1395795629,[],r:814316,0,0,@beltzner @shepazu will be very interested in this! https://t.co/AbJ2uHi7wc,"[814316, 14120913]"
487624087787671553,1405093616,[],r:15741451,0,0,@chriswilsondc the anti-filter bubble client? Great idea (if you can trust the algo),[15741451]
483975821644685312,1404223802,[],r:269395266,0,0,"@nigelhawtin @datastories @visualisingdata Cheers, thanks!","[269395266, 465929514, 137712607]"
448494022210777088,1395764282,[],r:137712607,0,0,"@visualisingdata My internal response to that:

?",[137712607]
617157822137044992,1435976865,[],r:43593,1,1,"I retract my previous remark on D3’s interpolation of CamelCase colors, as @mbostock has fixed it. https://t.co/LZ0bz1d6v9",[43593]
571084609598808064,1424992155,"[""d3js"", ""datavis""]",,4,3,Yesterday was a soft launch; today brings the @utknightcenter’s official announcement: https://t.co/96gqSnVFNZ #d3js #datavis,[20097091]
624648569224454144,1437762798,[],r:187132228,0,0,"@mikamaracuja Oops! Error, please hold…",[187132228]
617419613484154881,1436039281,[],r:408303912,0,0,@meli_lewis a great argument for the value of a liberal arts education,[408303912]
597807921406214144,1431363489,[],rt:597588511131205632,0,1,"RT @outstandy: As two crazy years wrap up, I'm _deeply_ grateful to @alignedleft for introducing me to D3 (and tolerating my horrific codin…","[2835659467, 17242168]"
645622564509716480,1442763389,[],rt:645594083008880640,0,20,RT @albertocairo: Banning phones while driving makes even more sense than mandatory seat belts. The latter protects you. The former protect…,[34255829]
599627654787043328,1431797348,[],r:14378125,0,0,"@dabobert yeah, this has to run in the browser only, for simplicity's sake",[14378125]
565541873494683648,1423670664,[],,3,3,Congratulations to @jensimmons on the excellent redesign of @thewebahead’s website: http://t.co/P3bEL8SdxF,"[975691, 365191012]"
493896611827695617,1406589103,[],r:124431858,1,0,"@ansh_shrey oh, nice interpretation! It is intentionally vague, with many meanings. :)",[124431858]
648649854420324352,1443485151,[],rt:648551779353804800,0,1,"RT @rsimmon: The beginner course was excellent, and I'm very much looking forward to this, https://t.co/VIRBgf8S4f",[29739700]
521317841308377088,1413126833,[],r:38254620,3,0,@giorgialupi @arnicas Related: Thomas Was Alone is a beautiful game with “only” geometric shapes as characters: http://t.co/dmCO56Agsm,"[38254620, 6146692]"
599986380198948864,1431882874,[],,2,1,Only 2 spots left in my D3 workshop at @eyeofestival   https://t.co/vH1B7gAP5M,[225138752]
492692336049004545,1406301981,[],r:13205612,0,0,"@mslima @emmajanehw @moritz_stefaner @moebio I don’t see the sad face, but great idea for research: subconscious emotional cues in vis.","[13205612, 14336120, 1366811, 367089411]"
488332995858665472,1405262633,[],,0,1,.@Suitpossum has a way with words (about money). “So you want to invent your own currency” in @aeonmag: http://t.co/uSRpRnS5aC,"[287816744, 481943972]"
639194701279563776,1441230867,[],,5,4,"New 2-day workshop — (De)coding Motion: Creative Coding with Processing. @oreillydesign conf, SF, Jan 2016 http://t.co/MQPpChlWv0",[124955138]
480110737335914498,1403302294,[],r:19968025,0,0,@katecrawford Wondering why we are more comfortable with pilotless aircraft than driverless cars. So many things could go wrong here…,[19968025]
560235162835763200,1422405446,[],,15,8,Brilliant illustration by @RSikoryak for latest @techreview cover http://t.co/6Oi1Ju5uKE,"[59308972, 15808647]"
488006269496594432,1405184736,[],,12,4,StackOverflow too slow? Google Groups got you down? Get your D3 questions answered in the current issue of @netmag! http://t.co/7bGT1rvfDk,[17648193]
