tweet_id,time,hashtags,type,faves,retweets,text,mentions
592734488221884416,1430153889,"[""qonnections""]",rt:592719156857933827,0,9,RT @QVSource: Searching for #qonnections tweets using the new QVSource Web Edition for loading into Qlik Sense or QlikView. http://t.co/1vY…,[248711375]
534669933003931649,1416310220,[],r:23073692,2,0,"@tiafrate @Stairway2Evan @ABilottaData I'll be following keenly, looking forward to the updates!","[23073692, 98673232, 2742026586]"
667112641199013893,1447887022,[],r:190857410,0,0,"@shirleyxywu To make this even better; a legend, and perhaps some point in time context on the axis? :)  Fantastic job!",[190857410]
531900416607678465,1415649916,"[""suiteconnectuk"", ""netsuiteemea"", ""cloud"", ""erp""]",rt:531873761113681921,0,1,RT @cooper_software: Frank enjoying #SuiteConnectUK #NetSuiteEMEA #cloud #ERP http://t.co/jduFxPbCfu,[553071485]
652213471019466752,1444334783,"[""fletcherismessi"", ""scopol""]",,1,0,#FletcherIsMessi That is all. #SCOPOL,[]
70765874100965376,1305706873,[],r:185596094,0,0,"@P2P2011 Have a superb time, lads.  A great effort on the fundraising!",[392733860]
585531215572295680,1428436495,[],rt:585526636956745729,0,9,"RT @ValaAfshar: Moore's Law: Wolfenstein game graphics, 1992 vs 2014 http://t.co/rF6SZ8B6bO",[259725229]
653283310723014657,1444589853,"[""ncaafootball"", ""qlik""]",rt:653224297981452288,0,2,RT @qlik: Did your #NCAAfootball team lose? No fear - they can still win it all! #Qlik has proof: http://t.co/fRSwogDMV1 http://t.co/FqMsbo…,[16742099]
595992009803857920,1430930542,"[""analytics"", ""bigdata"", ""basketball"", ""dataviz"", ""nba""]",,1,1,How Big Data Has Changed Sports - http://t.co/bAceDErwQP #analytics #bigdata #basketball #dataviz #nba,[]
560166239331708930,1422389013,"[""qlikdevgroup""]",rt:560165799613440000,0,7,RT @qlikdevgroup: It would appear that sometimes converting 11m rows into 1bn rows is a good thing!! #qlikdevgroup @dvadithala http://t.co/…,"[2863704171, 207695669]"
603235001472294912,1432657406,"[""qlikview"", ""happyendtotheday""]",,2,0,"I used FirstSortedValue() function, and in minutes, it solved a 2 day long problem - powerful!  #QlikView #happyendtotheday",[]
395183996143173632,1383054181,"[""mobility"", ""cloud"", ""qlikview"", ""ifsw13"", ""businessdiscovery""]",rt:395137476982874112,0,3,"RT @cooper_software: #mobility and #cloud are important, but don't lose site of the data you have! #QlikView ! #IFSW13 #BusinessDiscovery h…",[553071485]
582635244307767296,1427746041,"[""fantasybasketball"", ""qliksense""]",,1,1,Top #fantasybasketball players with ADP &gt; 100 in #QlikSense.  @youngwhiteside and @rudygobert27 top FAs by a mile. http://t.co/PRskil1c4L,"[149308566, 609548724]"
553507940515467265,1420801551,[],rt:553491923642888192,0,5,RT @animateddata: I'll be running an Introducing D3 Workshop in London on Jan 28th 2015. Earlybird tickets still available http://t.co/wYvo…,[1274765442]
525450085837320192,1414112037,[],r:16534327,0,0,"@Claudia_Imhoff Well deserved. Honest views during every event you attend. Very worthwhile, and great to see.",[16534327]
60245589073473536,1303198642,[],rt:60104627051438080,0,1,RT @P2P2011: http://t.co/hYTRNyM,[392733860]
667109518392840192,1447886278,"[""d3js"", ""dataviz""]",,2,1,Really awesome way to visualise tweet activity! #d3js #dataviz https://t.co/rqywtPUeYM,[]
