tweet_id,time,hashtags,type,faves,retweets,text,mentions
8729367060422656,1290916217,[],,8,18,"Hey Everyone!!
        Just wanted to say THANK YOU SO MUCH for all of the wonderful birthday wishes.  It's really... http://fb.me/GctCE3bA",[]
305402778954653696,1361648671,[],r:23556859,34,28,"“@genirodriguez: For all the girls out there this ones for you.  http://t.co/23Lqm7zHFq”
""Still laughing""!!",[23556859]
253594221460729856,1349296548,"[""ShanghaiCalling"", ""mvff35""]",rt:253589134399139840,0,9,"RT @shanghailicious: #ShanghaiCalling Oct 13/14 at Mill Valley is SOLD OUT, but rush tix may be avail! http://t.co/ayZ4ORpo #mvff35 @MVF ...","[357219086, 171641072]"
210930187066552321,1339124650,[],,13,16,"What complete domination and a showcase of amazing talent...maybe 1day critics will ""objectively"" analyze Lebron James.  WOW Paul who?",[]
243589530324725760,1346911244,"[""Clinton""]",rt:243550190538223619,0,3182,"RT @piersmorgan: Love him or hate him, THAT was one of the great speeches in modern political history. #Clinton",[216299334]
192317205780766720,1334686969,[],r:131442327,5,0,@martin6437 ......really?,[131442327]
273957272319840256,1354151478,"[""DHLiveQA""]",r:283018037,9,4,@aniracam Love OZ  been there many times...Sidney Perth Brisbane....all amazing!#DHLiveQA,[283018037]
672789701665902594,1449240539,"[""cmbb""]",,212,44,I confess...I may or may not have stole/ate 4 cookies today on set.  Just sayin..#cmbb… https://t.co/LnXTRqatfL,[]
260916262111150081,1351042259,"[""ShanghaiCalling""]",rt:260900261160181760,0,10,"RT @shanghailicious: Busy, busy! Lots of film fests coming up. Keep your eye on our festivals page for all your #ShanghaiCalling news: h ...",[357219086]
489121292830793728,1405450578,[],r:25451756,25,11,“@luPeaches: @danielhenney Any msg to your fans in India? Any plans to visiting this side? 😎” thank u guys for all your support!!,"[25451756, 150383968]"
269650855316291587,1353124748,[],,58,73,"Hmmm... A new take on domestic help??? Had to take a pic of this...
Only in LA:) http://t.co/ksiocIm5",[]
283253889438986240,1356367964,[],rt:283227131461386240,0,120,RT @timheidecker: Why didn't this fire have an armed security guard? http://t.co/vkl6YPQN,[15108422]
619567902354571266,1436551473,"[""askhenney""]",,87,31,지금 미시간~LA 로드트립 중 입니다.오늘 하루 만 여러분의 질문 받습니다. 질문의 답은 LA에서~~#askhenney   😊,[]
174600414942081024,1330462957,"[""ThingsIDontHate""]",rt:174521962243166208,0,8,RT @Things_I: @shanghailicious Top 5 New Trailers From Feb 2012 that I don’t hate http://t.co/uedROElK #ThingsIDontHate,"[437145450, 357219086]"
299317425013420032,1360197809,[],rt:299298100072300545,0,12,RT @AsianCineVision: @shanghailicious's theatrical release in NYC is on 2/15 at The Quad Cinema. Catch the film before it gets sold out! ...,"[26601490, 357219086]"
291973414581841920,1358446861,"[""TheLastStand"", ""TeamHenney""]",rt:291966554835415040,0,18,RT @HermosaINTL: #TheLastStand @danielhenney A wonderful mix of action &amp; comedy! Go go go see it! #TeamHenney http://t.co/abO7BEk6,"[594691682, 150383968]"
273956879036719104,1354151384,"[""DHLiveQA""]",r:560693184,14,4,"@Joyta_ I guess it's her face in general...and then i generally test her sense of humor....
#DHLiveQA",[]
278009937152598016,1355117708,"[""DHonH5O"", ""TeamH""]",rt:278009507400003584,0,26,RT @HermosaINTL: @danielhenney fans tweet us what you think of Daniel on Hawaii 5-O tomorrow night! Use #DHonH5O on your tweets! #TeamH,"[594691682, 150383968]"
624814092533022721,1437802262,[],,154,60,Q&amp;A is up!!  Thanks for waiting!!       Go to.  https://t.co/CuqF3oueYW https://t.co/s45hvXGIel,[]
211215995845619712,1339192792,"[""worldoceansday""]",rt:211199984446615552,0,9,RT @sunnyangela: @danielhenney could u RT prettyplease? thxsomuch!xo celebrate #worldoceansday @plasticpdise exclusive video: @yahoonews ...,"[28519617, 150383968, 281750545, 7309052]"
273962084365127680,1354152625,"[""DHLiveQA""]",r:291063097,9,4,"@froarah yes
#DHLiveQA",[291063097]
178298936476438529,1331344753,[],r:122134269,0,0,@tjxkal atta boy:),[122134269]
293918620919156738,1358910634,[],rt:293917805684879360,0,8,"RT @AE_AppleEye: 오늘밤부터 MBC 새 수목드라마 ""7급공무원""이 방송됩니다~ 유쾌발랄 김PD에서 아픔을 지닌 스파이 '미래'로 돌아온 김수현을 만날 수 있어요~오늘부터 매주 수목 밤 9시 55분! 잊지마세요~^^",[619588729]
162639329787777024,1327611213,[],,49,52,New Biotherm campaign pics... Enjoy! http://t.co/1zpuB6ys,[]
210742308012953602,1339079856,[],rt:210469251692236800,0,13,"RT @AdenDreamsOf: 'Shanghai Calling'- A very sweet, big-hearted culture clash comedy w/ solid acting by Daniel Henney, Eliza Coupe, and  ...",[192729908]
147728373005819904,1324056163,[],,9,16,Goodnight Seoul...,[]
188384340860870656,1333749301,[],,11,21,"Hey ALL....Please check out and ""LIKE""  a great friend of mine and his band ""POL THE FISHERMAN"".
http://t.co/3vrufcki",[]
263165443433447424,1351578505,[],,119,224,"Me: ""I'd like to order a club sandwich""
Room serv: ""clu--?""
Me: ""club sandwich""
Room serv: ""sandwich..?""
Me: yes... ""And some French fries""",[]
15383972708,1275617565,[],,4,13,Make sure to check out Daniel's NEW VIDEO he made for his fans! http://www.youtube.com/watch?v=NOJ5dB5LZdA,[]
