tweet_id,time,hashtags,type,faves,retweets,text,mentions
605749400497975296,1433256886,[],,10821,4618,Caption contest https://t.co/80vBuSTU8z,[]
598625591802335232,1431558437,"[""bbmas""]",,20853,8887,Looking forward to playing the Billboard Awards on Sunday #BBMAs May 17 8pm on ABC,[]
480814383875248128,1403470056,"[""edsheerannow""]",rt:480732268109918209,0,1695,"RT @MTV: Exclusive MTV First! Hear the new @EdSheeran track ""I'm A Mess"" http://t.co/6eKLJAxRlb Get more at http://t.co/zQtNDmp0lQ #EdSheer…","[2367911, 85452649]"
563134187478069248,1423096627,[],,16031,6224,"If you missed the announcement earlier I'm performing a duet with Jeff Lynne and ELO on Sunday at the grammys, tune in !",[]
520326616216780800,1412890507,[],r:1414294376,1652,380,@Dance10Paul ya lil legend,[1414294376]
537374056337899520,1416954933,[],,31530,14341,Eating all the chocolate in the mini bar,[]
611349358928379904,1434592020,[],,12121,5915,5 cups of tea later https://t.co/uo2KWPv6Lj,[]
498423962062553088,1407668507,[],rt:498385767882686464,0,611,"RT @RizzleKicks: TELL HER IS RELEASED TODAY!! 
You can download the new single on iTunes now: http://t.co/Q5tH8qqEO3
Big love to everyone w…",[22698134]
588919418576568322,1429244305,[],r:22660622,2197,650,@Shmifyy @TrevorDawkins God help all of us,"[22660622, 197700856]"
619711889526923265,1436585802,[],r:146179868,2551,698,@GregCapital I love that you were at both,[146179868]
458731887725641730,1398205179,[],,3735,923,f64 with @sbtvonline goes live on saturday... il tweet the link when it goes live,[19559692]
628878416230633472,1438771273,[],,72750,42181,New song dropping at 5pm today UK time.,[]
469371145977102336,1400741776,[],,8021,3201,SING video is coming today exclusively on my Facebook. 3pm UK time x,[]
453825853206851584,1397035489,[],,4526,1961,SING iTunes link - http://t.co/ndmknil2oh - SING audio video - http://t.co/5NTW4e8kYK,[]
516220367703388160,1411911501,[],,1270,378,"@MikillPane you're talking to me on the radio about KFC, this is trippy",[87054237]
476344114016165888,1402404261,[],r:17919972,11968,6231,"@taylorswift13 nah, just you",[17919972]
634390298710380544,1440085408,[],rt:634291294358118400,0,1829,RT @jamielawsonuk: LOOK WHAT I GOT!!! My first plaque. Double Platinum baby! Many thanks to @WarnerMusicAU and @edsheeran. Amazing. Jx http…,"[57678632, 199506829, 85452649]"
488924105144811520,1405403565,[],,20888,8162,God bless the neck pillows of the world,[]
640238330290958336,1441479687,[],r:34868950,1779,524,@torylanez @ItsBennyBlanco maybe,"[34868950, 23083434]"
527949353655496704,1414707909,[],,946,258,@SianAnderson I was asked by 3 of the teams to hop up but I'm gigging in Glasgow. Last time I clashed anyone was manga at @ChantelleFiddy's,"[38649346, 19912414]"
617398094276243456,1436034151,[],rt:617397925275111425,0,87277,RT @taylorswift13: When @edsheeran shows up for the 4th of July in a red coat because he just can't let it go. http://t.co/ulTbBJhUt4,"[17919972, 85452649]"
646359396033908736,1442939063,[],,21994,8952,"I set up a snap chat too, which was a bad idea. Follow it on teddysdaytoday",[]
656519615724593152,1445361448,[],,18161,10675,Long ol' day today,[]
596450382915604480,1431039827,[],r:21624951,2942,970,"@BrentMorin i wish I could explain this, but alas",[21624951]
538545393790107650,1417234202,[],r:72850520,1856,450,@LesterClayton preach !,[72850520]
