tweet_id,time,hashtags,type,faves,retweets,text,mentions
672450002376114176,1449159548,"[""iibawards""]",,26,12,And we're on the @guardian! https://t.co/ImGycA5Av3 @_deardata @infobeautyaward @stefpos #iibawards,"[87818409, 2848359778, 329714473, 15339875]"
437572545421004800,1393160399,[],rt:437328707527917568,0,5,RT @moritz_stefaner: Some thoughts on the @selfie_city project http://t.co/fuYCEXbzMq,"[1366811, 2317326517]"
621749509719228417,1437071609,[],,15,13,"Fascinating article by @mcgeoff for @NatGeo Data Points: http://t.co/HLAMnkfnM7 What are ""Steampunk infographics""? http://t.co/DtKIxd94ld","[17677665, 17471979]"
532553140705689600,1415805537,[],rt:532553071831031808,0,5,RT @accuratstudio: an essay by @giorgialupi + many of our dataviz are on Le Mappe del Sapere by @RizzoliLibri http://t.co/kDM4WDRCB6 http:/…,"[1371790790, 38254620, 561906342]"
436490234554232834,1392902356,[],rt:436399135348883456,0,22,RT @AstroSamantha: Navigate the future! Visual timeline by awesome @giorgialupi based on fiction http://t.co/c543NNRlVY via @fabriziolab ht…,"[337886919, 38254620, 12805482]"
613701820913983488,1435152890,[],r:222865265,1,0,@zararah @_deardata happy to hear it thanks!,"[222865265, 2848359778]"
540141399040335872,1417614719,[],r:17398391,0,0,@roccorossitto @mafedebaggis @gallizio :D,"[17398391, 21843, 13388922]"
608656718109753344,1433950044,[],,1,0,@wesleygrubbs happy birthday!!! :),[32889156]
582541217126334464,1427723623,[],,10,9,"Hey! Listen to @_deardata ! We've been interviewed by @sparkcbc radio: http://t.co/1m24y8Pvg6
http://t.co/914VAg0njK http://t.co/BZYhRlFs0T","[2848359778, 14126996]"
448825959048048640,1395843422,[],r:17013577,0,0,@blprnt windmill5 ! :),[17013577]
591327878534443008,1429818527,[],rt:591284809126780930,0,22,"RT @ireneros: Latest @bocoup Data Vis Team project: Stereotropes: http://t.co/P6bhkQYn7g, exploring @tvtropes assigned to the male &amp; female…","[16789581, 98303566, 191034621]"
428214873873739776,1390929356,[],rt:428214197965832192,0,2,"RT @accuratstudio: Flattered to be mentioned as ""Studio of the year"" 2013 in the last ""Data Stories"" podcast episode by Enrico... http://t.…",[1371790790]
535900111164174337,1416603517,[],rt:535897954713079808,0,3,RT @alebegoli: non vedo l'ora di seguire il viaggio di @AstroSamantha con @Friends_InSpace &lt;3,"[9046922, 337886919, 2880962315]"
373418260156268544,1377864825,[],,2,5,fascinating project: 56 broken kindle screens: http://t.co/kUbKBPO6kf (via @katepullinger ),[9140202]
644523787183104000,1442501420,[],,8,7,Ha! A collection of maths GIFs posted purely for aesthetic reasons: http://t.co/rUOJwE4SHN @presentcorrect,[20228975]
639067035239063552,1441200429,"[""deardata""]",rt:639064380617957376,0,12,"RT @_deardata: Beauty in Data and Data in Beauty!
Week 39, noticing the grace around us:
http://t.co/riJlnS8CLF #deardata http://t.co/mI2UE…",[2848359778]
542026072775458816,1418064060,[],rt:542024169270288384,0,2,RT @DataRemixed: Love this edition of the @tableau Public newsletter that focuses on design. Great content by @giorgialupi &amp; others http://…,"[359024514, 14792516, 38254620]"
