tweet_id,time,hashtags,type,faves,retweets,text,mentions
639886235503337472,1441395741,[],r:340884114,52523,36327,".@Lukekocura I'd type a longer retort, but these diamond buttons really hurt my fingers. http://t.co/RJ19nIMd94",[340884114]
597332595089760256,1431250163,[],,1604,326,".@JMcGilchrist93 So true. When I worked in an office, I always made sure I spent my earnings only at shops the boss had pre-approved.",[]
602847623993794561,1432565048,[],rt:602846609718812672,0,1387,RT @nytimes: Ireland's vote to approve gay marriage placed the country at the vanguard of social change http://t.co/vLQEDgOpxs http://t.co/…,[807095]
640568349148205056,1441558370,[],r:2371910443,121,26,"@BrianSpanner1 So bad, they blocked me thrice.",[2371910443]
622130835282595840,1437162524,"[""bbcmemories""]",rt:622130768941326336,0,29,"RT @bookgirljo: @jk_rowling dinnerladies, French and Saunders,  The Box of Delights #BBCmemories","[541094766, 62513246]"
674557743643164673,1449662073,[],rt:674553795691618304,0,143,RT @lumos: We hit 66% over night! Thanks so much to everyone for joining in - you are changing children's lives https://t.co/hmaxv37AK7,[140011683]
591588089245601792,1429880566,[],r:24156740,1185,246,".@chrisrankin Let's see... half a mug of tepid tea, Ibuprofen for my back and a stale biscuit. I don't think Mick Jagger would feel at home.",[24156740]
558654005627592704,1422028468,[],r:705257276,995,254,.@hhagrids Robert is thrilled to hear that and would like you to know that Cormoran and Robin are having a very interesting time right now.,[2657004786]
593480391371153408,1430331726,"[""thecasualvacancy""]",rt:593475269375238145,0,445,"RT @HBO: From @jk_rowling, #TheCasualVacancy miniseries begins tonight at 8. http://t.co/VZxwx3CQjQ http://t.co/zTCey55POI","[15635604, 62513246]"
594409493443805184,1430553241,[],,56075,50953,Today I would just like to say: I'm really sorry about Fred. *Bows head in acceptance of your reasonable ire*,[]
649916909887033348,1443787240,[],r:2371910443,126,26,"@BrianSpanner1 You're a good man, Brian Spanner.",[2371910443]
