tweet_id,time,hashtags,type,faves,retweets,text,mentions
649331000254799873,1443647549,[],,3,1,You better come to @queens_js because I think I'm talking about makings of knitting language. Also it's my boro.js Trifecta ! ✨,[2481210138]
640201676725583872,1441470948,[],,8,2,"Long weekend 😎

(You know it's serious when external monitor is out of my desk.) http://t.co/7u5mICLNAv",[]
652217567428411392,1444335760,[],r:15376182,0,0,@rmehner come to Brooklyn ! it's still sunny and warm here ...,[15376182]
645774246396993536,1442799552,[],r:577124971,2,0,@rustyk5 @imbeccable well I saw you and &amp; your pal's http://t.co/Vl9tfStZBf &amp;&amp; dubbin has http://t.co/EWztuWJ27c. that made me domain search,"[577124971, 16248633]"
664214027204034560,1447195939,[],r:2290970534,0,0,@ETIBerlin oh wow awesome!,[2290970534]
659495429298630657,1446070937,[],r:8470842,2,0,@cczona @hackygolucky @ag_dubs I think blind + final un-blind round is not just hard but necessary.,"[39617149, 42039840, 304067888]"
643647616090161152,1442292524,[],r:577124971,1,0,"@rustyk5 @karenkho 😩
But it's okay, by your quote this weekend, Scripto is 50% passion project anyway.","[577124971, 17768442]"
657041497011986432,1445485874,[],r:78663,0,0,@ceejbot yey ! 🙌,[78663]
634972538448281604,1440224225,[],r:288679139,1,0,"@PyramidHead76 oh, mai, gosh i need to go there.",[288679139]
651241075991027712,1444102946,[],,12,0,"1st half of trip almost done.
I'll be in NYC for 4 weeks then to...
1. Oklahoma City
2. (maybe) SF
3. Tokyo
4. Singapore
💦",[]
635182351803383808,1440274248,[],,8,0,Luke got me a book. http://t.co/KWLznIDfQ7,[]
672078127888252928,1449070886,[],,2,2,もう、NPMとDigital Oceanがポケモンかよっていう勢いJavaScriptエンジニアをかっさらって行っている…。,[]
640584114991693825,1441562129,[],r:61705400,1,0,@sailorhg portland ! I'll be there next week for XOXO !,[61705400]
646719649544032257,1443024954,[],,128,82,Hey I made a thing to turn punchcard to ASCII letters. Come check out how it's related to textile @RejectJS tomorrow! http://t.co/XAxSMTwQFb,[1664710004]
645886405311393792,1442826293,[],,2,1,"Working from Amsterdam today! (@ Two for Joy Coffee Roasters in Amsterdam, Noord-Holland) https://t.co/0bdYxHvweu",[]
646394177257910272,1442947355,[],,4,0,So I have new demo idea ! Bad! It's 48hours before the talk !,[]
638033781618819073,1440954082,[],r:8470842,0,0,@kimio_kosaka なんか”つながったよー”ってデータがemitされるならそのイベントを使えば良いのでは。と思ったんだけど。,[15921459]
