tweet_id,time,hashtags,type,faves,retweets,text,mentions
403292230448062464,1384987335,[],r:16112517,0,0,"@eagereyes If you really want to add one millisecond to a Date, it’s date.setTime(date.getTime() + 1). Or new Date(+date + 1).",[16112517]
534986157377851393,1416385614,[],r:15840592,1,0,@paniq Thanks! The code is a mess but I expect I can figure out how to clean it up now that it works.,[15840592]
546377622713036801,1419101551,[],r:14109167,1,0,"@flowingdata Cheers, Nathan!",[14109167]
395072380780814337,1383027570,[],rt:394816606146002944,0,6,"RT @Poynter: With ""A Game of Shark and Minnow,"" NYT to keep readers scrolling http://t.co/hRFACGecxp ""the story should unfold for them""",[8383592]
373312409605115904,1377839588,[],r:2790981,0,0,@migurski Okay. Let me know when. Looking forward to catching up.,[2790981]
352882222472241152,1372968652,[],,24,28,"“Don’t use Medium, because it makes you dumber. Go learn to pull your own shots.” https://t.co/A21z3Vm13u",[]
595254987866775554,1430754823,[],r:15248437,1,0,@enf Thank you! Me too. ;),[15248437]
488916133924184064,1405401664,[],r:16476434,0,0,@d2fn That’s nice! Love the stroke-width animation. Did you also see this? http://t.co/K4hq3HAl4u,[16476434]
316040827694620672,1364184979,[],r:396856913,0,0,"@patrickm145 Haha. Well know that you are most likely getting second-hand information from Synder, then. ;)",[396856913]
307319657986142208,1362105690,[],rt:307048387268718592,0,45,"RT @aaronkoblin: Amplified images - pulse and motion exaggeration in any video, from MIT. Revealing the barely visible. http://t.co/yxoV ...",[22197926]
404333207379656704,1385235523,[],,16,3,"This seeded psuedorandom number generator is lovely, and would be a nice addition to core JS. https://t.co/9v3GL7TGfK",[]
543091400447782912,1418318054,[],r:16112517,1,0,@eagereyes @scheidegger Y’all are naysayers. “It can’t be done” until it’s been done.,"[16112517, 44195788]"
613842873440546816,1435186520,[],r:9295332,0,0,"@msjgriffiths Should be fixed now. Mind reloading and testing for me?
http://t.co/IuGSpEgRq4
https://t.co/zIRRYw8IzU",[9295332]
610545659679105024,1434400403,[],r:8543002,0,0,@Hoffmann Sort of. More closely related to Python: https://t.co/356AsesxcX,[8543002]
531175290790100992,1415477032,[],r:14120913,0,0,@shepazu A tasty Bostock!,[14120913]
433658608015134720,1392227243,[],r:21425450,0,0,"@gabrieldance @eyeseast But you also discovered you can click, right? Standard keys work, too.","[21425450, 3315611]"
336496042839248897,1369061883,[],r:276747115,0,0,"@Utebuntu Sure. formatMonth3 = d3.time.format(""%b""); function formatMonth1(d) { return formatMonth3(d)[0]; }",[276747115]
615626821871075328,1435611846,[],r:2812722969,0,0,@LooslyCoupled Thank you!,[2812722969]
306203654900314112,1361839614,[],rt:306111750598692864,0,8,"RT @nelson: Over the weekend I redid @ben_fry's awesome zip decode visualization, using d3.js. Readable code! http://t.co/px3HY47dbn","[10051, 46243602]"
383340375462907904,1380230442,[],r:69133574,0,0,@hadleywickham @scheidegger @shancarter The forecast is unfortunately far too low resolution for the scale of the race course.,"[69133574, 44195788, 14875983]"
391334447762526208,1382136377,[],r:2790981,0,0,"@migurski Yikes! That sucks. Sorry. Were you on foot, bike or car?",[2790981]
317742197061611520,1364590617,[],rt:317737203956592641,0,13,"RT @shawnbot: Oh, hello d3 cartograms in @theatlantic's money issue! Tip 'o the hat to @mbostock @jasondavies  @stamen, of course. http: ...","[812984, 35773039, 43593, 349963, 2067201]"
667872806256820224,1448068260,[],r:812984,0,0,"@shawnbot Side note: you say it doesn’t support translation, but it does. Per the docs, it doesn’t support rotation or centering.",[812984]
336922057998741504,1369163452,[],r:34175404,0,0,@whit537 @trinary Example of dealing with half pixels here: http://t.co/2ELA1IiIlF,"[34175404, 14869810]"
675018967967129600,1449772037,"[""unsolved"", ""quests"", ""mobility""]",rt:674610623834099712,0,143,RT @moovelLab: one of the biggest #unsolved #quests of #mobility: Do all roads lead rome? see yourself https://t.co/tpdNJQMns6 https://t.co…,[3072364511]
595988614858743808,1430929733,[],,65,15,Funny to hear D3 described as “precanned” when it is the opposite. But speaks to the success of the examples.,[]
305440907652628482,1361657761,[],r:12241752,10,4,"@substack @maxogden Wow, static resolution looks great. Pretty tempted to refactor d3 into a zillion require'able files now.","[125027291, 3529967232]"
