tweet_id,time,hashtags,type,faves,retweets,text,mentions
669108471783145472,1448362865,[],,139,108,"When Ben Carson walked around Johns Hopkins Hospital, said a former colleague, ""he was like God"" https://t.co/poF7vO19UH",[]
669802882892439552,1448528426,[],rt:669630154726105088,0,106,"RT @nytfood: Mashed, roasted, boiled or fried  https://t.co/rlfM9hexrk https://t.co/ijtgfUUSOj",[1775731]
676512250417541120,1450128064,[],,128,62,"Friends describe Marco Rubio's wife, Jeanette, as a pivotal figure in his evolution https://t.co/exkIjUeqKY https://t.co/vIEDbabR5R",[]
671236785633107968,1448870295,[],,162,78,The murky laws surrounding hoverboards https://t.co/rjpl7PJMeD https://t.co/WETyaTIo6Y,[]
676308799586738177,1450079557,[],,318,116,"Taylor Swift tweets that she has ""a little surprise"" for fans: A film deal with Apple https://t.co/jbPnfiNnSd https://t.co/Pye6hBUH2D",[]
672113037302751233,1449079210,[],rt:672091469566468096,0,100,RT @nytopinion: Why is law enforcement allowed to own and control its video footage? https://t.co/h8O6Ma6YN4 https://t.co/OZLpG7duSf,[16686144]
667661169281376256,1448017801,[],,182,267,"More Mexican immigrants are now leaving the U.S. than entering it, a new study finds https://t.co/nCaWQNNdRN",[]
673295047161434112,1449361023,[],rt:673147349380804608,0,792,RT @nytopinion: We must eliminate large categories of weapons and ammunition in the U.S.: https://t.co/7sTpP40tM0 https://t.co/AtvI0z7dcz,[16686144]
670415538095595520,1448674494,[],,126,111,Colorado Suspect in Custody https://t.co/ZDODvnibQH,[]
669725059397894144,1448509871,[],,97,70,"Mack McCormick, Student of Texas Blues, Dies at 85 https://t.co/NPF2yimetz",[]
668688978900606977,1448262850,[],rt:668631059756662784,0,905,"RT @nytimesarts: Skrillex, Diplo and Justin Bieber won an AMA for “Where Are Ü Now.” How it came together: https://t.co/9PCCBf6peS https://…",[1440641]
671490402659254272,1448930762,[],rt:671462031963197440,0,168,RT @nytgraphics: The schemes that got former NY state speaker Sheldon Silver convicted of corruption. https://t.co/ZsU84D8ECk https://t.co/…,[86640232]
675577666897092609,1449905242,[],rt:675452053091721216,0,50,RT @nytfood: 13 recipes for the weekend https://t.co/CP1CX3dSYb,[1775731]
674285338769100800,1449597127,[],,133,61,It’s been an eventful year in New York City real estate. Test your memory with this quiz. https://t.co/b59ULd760N https://t.co/t2mUFk0OVd,[]
670846608737755136,1448777269,[],,88,55,Your Sunday Mini Crossword https://t.co/wK8RVw8Bfx,[]
675129396731203584,1449798366,[],,229,157,"To Hillary Clinton and the Democrats, Donald Trump is no longer a laughing matter https://t.co/tYhc4HDEjj",[]
671943893005520897,1449038882,[],,250,214,Receding waters in California expose artifacts and archaeological sites to looters https://t.co/wx1DrRjSnv https://t.co/hAgd5eL2Bf,[]
668906875828707328,1448314801,[],,71,72,How the $160 billion Pfizer-Allergan deal ranks https://t.co/qVHhl60h6t,[]
670288493168476161,1448644204,[],rt:670257137747165185,0,91,"RT @NYTNational: These cows were gene edited to be hornless, and may be the future on 4 legs https://t.co/2HP1GENze3 https://t.co/AdYl7XvKQn",[1767741]
671296821768159232,1448884609,"[""cop21""]",rt:671295471852351488,0,42,"RT @sewellchan: ""…and even more floods of desperate peoples seeking the sanctuary of nations not their own"": Obama at #COP21",[1198481]
671280508874174464,1448880719,[],,133,99,"Hope for Nefertiti’s Tomb, and Egypt’s Economy https://t.co/oBIyhHWK5c",[]
670428227194773504,1448677519,[],rt:670358451265134592,0,426,"RT @nytimesbusiness: Adele, a 27-year-old mom who pretty much ignores social media, is selling more albums than anyone thought possible. ht…",[1754641]
669962597718990848,1448566505,[],,110,68,In what city is Thanksgiving turkey most popular? Take @UpshotNYT's quiz. https://t.co/TOl7jityQ8,[16955870]
670378086584709120,1448665565,[],,134,86,The Women's Equality Party in Britain has an ambition others do not share: to put itself out of business https://t.co/qv6LnTPgpo,[]
673882917156843520,1449501182,[],rt:673841935073869824,0,92,RT @nytimesbusiness: Banks have mounted a quiet campaign to muscle Fannie and Freddie out of the mortgage market https://t.co/kVjdDtglB5 ht…,[1754641]
675900468745404416,1449982204,[],,291,153,10 of the year's best actors lift off in stunning short films. Watch them all here: https://t.co/qfIFZCW4sE https://t.co/j1MPi4NQab,[]
674567934459699201,1449664503,[],,315,130,A chat with the two young stars of the new @starwars film https://t.co/iBiCHtMhrL https://t.co/Bu3X6hdNPI,[20106852]
667693837905698817,1448025590,[],,309,221,You probably won't find Adele's new album on Spotify or Apple Music https://t.co/wDP97Tri6x https://t.co/coSNb9OMkx,[]
673264348316491777,1449353703,[],,202,138,Republican presidential candidates seize on California attack as proof of terror threat https://t.co/H5PyfuEsse https://t.co/8BC4cPsCDG,[]
672862773567733760,1449257961,[],,98,139,The FBI will be taking over the San Bernardino shooting investigation from local officials https://t.co/CIyQmcw3pT,[]
673493368232681472,1449408306,[],,350,217,Modern Love: Is there a doctor in the marriage? https://t.co/kt66ZdGq0Z https://t.co/qoXJdWaHJi,[]
673795924301357056,1449480441,[],rt:673538409294614528,0,222,RT @UpshotNYT: What are the odds of a gun homicide in other countries? Some very surprising comparisons. https://t.co/U1pzOq7Uz7 https://t.…,[16955870]
671176274191216640,1448855868,[],,143,103,Woodrow Wilson’s Legacy Gets Complicated https://t.co/Irnh0FQTgd,[]
673203945356046338,1449339302,[],,139,127,He was bashed after raising the price of a drug from $13.50 to $750 a pill overnight. But he's still smiling. https://t.co/Xr5VZ2Npoq,[]
673938292237320192,1449514384,[],,120,90,"A Canadian Christmas tree vendor has become a fixture on the Upper West Side, where he provides “holiday happiness” https://t.co/B2JBTIGZhW",[]
673376050437562368,1449380335,"[""fifa""]",rt:673266554226745344,0,80,"RT @RebeccaRuiz: How Switzerland's privacy laws have come into play in the US' #FIFA corruption case, keeping info. out of reach: https://t…",[15593561]
673708680186081281,1449459640,[],,143,123,Republicans attack President Obama’s address on terrorism https://t.co/eM9mkODdcl,[]
