tweet_id,time,hashtags,type,faves,retweets,text,mentions
651452706024919040,1444153403,[],rt:651452598768107520,0,6,RT @maybefriday: @sailorhg Also yes this is the right face to be making at this text. http://t.co/6tDs4g9x6m,"[79102364, 61705400]"
652959684798734336,1444512694,[],,46,15,working on a halloween bingo card for y'all http://t.co/YCuQ8IOtjI,[]
656266435216429056,1445301085,[],r:18098830,1,0,@amelielamont omg 😣,[18098830]
656222818288455681,1445290686,[],r:63615426,1,0,"@jonathanmarvens ahh that's awesome, congrats!!!",[63615426]
664486491649773568,1447260899,[],rt:664476174362484736,0,7,"RT @davidnoob: also most accessibility needs are cheap, or in the case of live captions, they follow the principle of universal design and …",[140161914]
658387384719966208,1445806759,[],r:61705400,6,0,it would also include an art gallery exhibiting submitted works produced/enhanced with technology,[]
662133967533961216,1446700014,[],r:61705400,3,0,omg this talk was really great!,[]
656224455019077632,1445291076,[],r:3021787897,1,0,@franseapants 💜💜💜,[3021787897]
662393451221094400,1446761880,[],,18,9,"Also this article, about calling out appropriation, and how it completely changed a video game: https://t.co/gBVvOORWxZ via @hypirlink",[2805946082]
669342930595745792,1448418765,[],r:138668717,0,0,@kayladnls she uses a knitting machine!,[138668717]
662682374140882944,1446830764,"[""ios""]",rt:662664551440261120,0,41,RT @pocintech: Episode 17 is up! Featuring #iOS engineer &amp; @CODE2040 Fellow @kthomas901 https://t.co/IahMlIPavs https://t.co/js2oM7ropm,"[3428933729, 481647429, 793171789]"
656528012142321664,1445363450,[],r:61705400,4,0,"@ag_dubs my life milestones include ""adopt a pet"" (done!!), play music live on stage with a band, &amp; become fluent in another language",[304067888]
655744034913329152,1445176535,[],r:12665152,1,0,@langziehohr 💙💙💙,[12665152]
657335713654935552,1445556021,[],r:7039892,0,0,@feministy 💜,[7039892]
674334512659103744,1449608851,[],r:35209275,0,0,@_sahrish thanks!!,[35209275]
660500115581370368,1446310473,[],r:16358256,0,0,@eljojo i've been meaning to clean the code up a little &amp; open source it but haven't had the time yet!,[16358256]
655759977651531777,1445180336,[],,30,2,"getting further! this is october's moon phase calendar, calculated with trigonometry! 🌖 http://t.co/SysQyaYkp0",[]
671096562165014528,1448836863,[],r:61705400,9,0,"also, i named her blueberry pie!",[]
644332621342765056,1442455842,[],r:61705400,5,0,i'm getting ready to literally dazzle you,[]
654488735023689728,1444877248,[],r:43943,1,0,"@infraredflower at airbnb i only did laptop q's, using an env that could evaluate most languages so it could be language agnostic",[43943]
645068083636256769,1442631190,[],r:61705400,4,0,it's one of these. i just literally can't believe how obsessed with it she is. http://t.co/3MUJhbY1Va,[]
666723454519930880,1447794233,[],r:18904758,0,0,@betsythemuffin ❤️❤️❤️❤️❤️,[18904758]
662883938264850432,1446878821,[],r:455219790,1,0,@MsBlackhart get your vr glasses ready! https://t.co/0siYe7h60j,[455219790]
647645072041857025,1443245592,[],r:756154,1,0,@pixelvixen hahaha i have totally done this,[756154]
645376242821165057,1442704661,[],,6,0,"moxie taps me on my shoulder with her paw ""excuse me would you like to play""",[]
659453868762202112,1446061029,[],r:59593,0,0,@jm3 whoa that is super awesome,[59593]
662047789430366210,1446679467,[],r:93679951,3,0,@amandaglosson we have the same life struggle 💜💜💜,[93679951]
661604628333658112,1446573810,[],r:253464752,0,0,@jessicard 💜💜💜 @indirect,"[253464752, 5674672]"
671517191913668608,1448937149,[],r:185797545,0,0,@CatSwetel :(,[185797545]
653068993062764546,1444538756,[],r:61705400,5,0,to clarify: i'm totally down to do tough workouts. i mean verbally encouraging vs verbally tough/reprimanding,[]
648223433248112641,1443383484,[],,3,0,i've had the best day today wandering st louis! i can't wait to come back!,[]
646107504527589376,1442879007,[],r:2315499348,1,0,@BugKrusha so exciting!!,[2315499348]
656206975596961796,1445286909,[],r:61705400,0,0,@fleurchild very little and are now successful.,[18519547]
