tweet_id,time,hashtags,type,faves,retweets,text,mentions
388620243586658304,1381489260,"[""hackthebartstrike""]",,0,0,Working...even...harder...#hackthebartstrike,[]
544945693505622017,1418760152,[],r:417580362,1,0,@enspencer @backboneconf thank you!  Credit where credit is due - that beautiful viz is all @jcukier,"[417580362, 474224999, 14624309]"
632445434779176960,1439621716,"[""tswift"", ""1989TourSantaClara""]",,1,0,"I hear the screams of ten thousand teenage girls I love it.
#tswift #1989TourSantaClara http://t.co/g2UXSc6MaM",[]
390965642234306561,1382048447,[],rt:390954117079654400,0,1,"RT @LewisLehe: Creative Views of BART Dispute by Hackers - Government - Berkeley, CA Patch http://t.co/kgRHXRfY3v",[1654033466]
662866926142488576,1446874765,[],,0,0,@kosamari do you have the slides from your @wafflejs talk up online somewhere?,"[8470842, 3338088405]"
658676137397108736,1445875603,[],r:1615926037,1,1,"@Claud_Alexander if it helps, I wrote about force here: https://t.co/367XgCDCzc
I wrote it after reading through the code it was fun :D",[1615926037]
661711041349324800,1446599180,"[""d3unconf""]",rt:661710640914956288,0,1,RT @Jeremy_CF_Lin: Yay! Found my block for #d3unconf using this awesome tool built by @shirleyxywu!!! So excited about the unconf! https://…,"[609302983, 190857410]"
562422339350970369,1422926909,[],,0,0,The inevitable has happened: my @Dropbox Space Race promotion is expiring.  HOW HAS IT BEEN 2 YEARS ALREADY!?,[14749606]
632104799501029376,1439540502,[],r:1458271,0,0,@tmcw oh hey I'm (eventually) writing about d3.transitions :D,[1458271]
668165865091633152,1448138130,"[""d3unconf"", ""shiny""]",rt:668148289544454145,0,6,RT @trebor: my sexy sexy badge for the #d3unconf. #shiny https://t.co/Ssltu0N3Ad,[19301681]
646401516908122112,1442949105,[],r:109274715,0,0,"@billautomata hahaha yes, I've been advised not to watch them.",[109274715]
567179816172916737,1424061180,[],r:15315247,0,0,@lmeyerov one of these days I really need to see/understand/be awed at what you're working on.,[15315247]
632789258181341185,1439703690,"[""d3js""]",,5,0,"ALTIGHT, pt2 exploration of #d3js transitions: d3.interpolate with multiple elements.  I'm gonna get this done before I sleep *motivation* 🔥",[]
400131577939648513,1384233776,"[""bartstrike""]",rt:400106438711709697,0,3,RT @kamilah: Really fascinating data viz of how livable the bay area is for Bart workers by @shirleyxywu #bartstrike http://t.co/b4ExCNEK7Z,"[7460562, 190857410]"
478646532074242048,1402953200,"[""eyeo2014""]",rt:478348675819642880,0,1,RT @enjalot: i recorded my thoughts on last 2 days of #eyeo2014 https://t.co/lPqxfK7J8e and blog http://t.co/Sm6PhDEzYS data anxiety and co…,[16030323]
527096777837531136,1414504639,"[""arashiyama"", ""kyoto""]",,0,0,Award-winning croquettes in #arashiyama #kyoto http://t.co/tymbrw2Zva,[]
452141485824024576,1396633905,[],rt:452139169549021184,0,340,RT @jasondavies: World Airports Voronoi: https://t.co/0vQxOvnGrn http://t.co/5urJV0sSTp,[349963]
630783723756097536,1439225533,[],r:1387915232,0,0,@Elijah_Meeks I had to look up what a balrog was.  I thought it was going to be a tumbleweed idk why,[1387915232]
637376985853923332,1440797489,"[""d3js""]",,3,0,"Refactored last night hoping for better performance -&gt; backwards progress.
Gave up at 3AM ;A;
#d3js scroll animation http://t.co/MOwgCXvV36",[]
526692773119152128,1414408317,"[""hiroshima"", ""guesthouseroku""]",,0,0,One of our fellow hostel-mates juggling 7 balls #hiroshima #guesthouseroku http://t.co/2Vb1b2iiq7,[]
