tweet_id,time,hashtags,type,faves,retweets,text,mentions
476460903773114368,1402432106,[],r:13495,0,0,@RandomEtc Makes me assume Pinterest is also evil.,[13495]
629306707219480576,1438873385,[],r:135239774,0,0,@francamps Oh. So. Surprising. :(,[135239774]
669590414219939840,1448477769,[],,1,0,"I really like the half-normal, half-anticipatory feel of the day before a holiday.",[]
654118978286186496,1444789092,[],rt:654116099131318272,0,292,"RT @susannecraig: Hillary Clinton gave three speeches to Goldman Sachs in 2013 and was paid a total of $675,000 for them http://t.co/nXT148…",[182545611]
610195639427698688,1434316951,[],r:22389244,2,0,"@carolinesinders @ra @gnuaesthetic 4sooth, I say ’tis true","[22389244, 376807850, 18641190]"
669012031467573248,1448339872,[],r:75893,0,0,@indiamos @cattsmall The tininess of NY!,"[75893, 164725788]"
366670057637552131,1376255928,[],r:75893,0,0,@indiamos Drawing &amp; swimming.,[75893]
345650862229708801,1371244562,[],,0,0,"1/2: “I’ve seen the best minds of my generation, howling hysterical naked, on their knees …",[]
512744160214806528,1411082708,[],,0,0,"Regardless of the outcome, I’d like to go on record as loving Scotland.",[]
599571020949893121,1431783845,[],r:73375494,1,0,@muditameta @maryrosecook @ballingt  Woohoo! I won’t be around on the 28th but I will be in Thursdays in June &amp; can’t wait to see.,"[73375494, 1493071, 227187870]"
230810190134530049,1343864412,[],,0,0,Photo: Charles Demuth commemorates the 1921 Cybermen attack. http://t.co/UP8wJWEI,[]
625736090608103424,1438022084,[],r:14368312,0,0,@never_ever_cool I REALLY LIKED THE FOOKIN YELLING.,[14368312]
627523616859668480,1438448263,[],r:376807850,1,0,"@ra Unless you’re Canadian, then it comes with tiny bears!",[376807850]
545721143941136384,1418945034,[],rt:545657612545822721,0,6,"RT @shashashasha: ""It did not take technology to spur the on-demand economy. It took masses of poor people."" http://t.co/oXgHfhO5PX",[3176751]
537720991733272576,1417037649,[],,0,0,How dare anyone question your right to boss them around? The world will end and your penis will shrink should someone not OBEY.,[]
594909099994808321,1430672356,[],,1,0,New protagonist name via @aparrish: Abacus Mastadon.,[6857962]
306829330284158976,1361988787,[],,0,0,MT @thebolditalic: Bikes allowed on BART all day March 18-22. http://t.co/WV11WifFBv cc @jandersen,"[69671781, 6154922]"
