tweet_id,time,hashtags,type,faves,retweets,text,mentions
5687484356,1258138325,[],,47,14,"Missing ""in reply to"" links http://bit.ly/3HIBNe",[]
9542743708,1266959254,[],,49,77,Words from @evan (the other Evan) on open engineering at Twitter: http://bit.ly/bVPRJh,[761613]
825628582,1212457858,[],,1,0,Monday update http://tinyurl.com/573ykw,[]
45200269004386304,1299611558,"[""iwd""]",,70,121,Sorry for the weird URL in that last Tweet. Here's the right one http://t.co/Hsg6KJo #IWD,[]
250646799897985024,1348593828,[],rt:250389434464337921,1,97,RT @twittertv: Let Twitter be your guide for Fall TV! Tune-in alongside your favorite stars live-tweeting this week's premieres! http:// ...,[586198217]
671131715377766400,1448845244,"[""climatemarch""]",,795,326,#ClimateMarch — See how people are rallying around the world against climate change: https://t.co/5a9MiprY6I https://t.co/fIahrBv9O7,[]
1957830441,1243586732,[],r:14723385,3,2,"@ynoelani Yeah, lots of ways we could filter trending topics to make them more interesting and relevant. Thanks for feedback. ^Ev",[14723385]
625754843542503424,1438026555,[],rt:625688771984363520,0,84,RT @JoinTheFlock: Honored to receive the Beyond the Check Award from @SFBusinessTimes for our work in the community. Read more here: http:/…,"[109184306, 19560636]"
1152860901,1233082175,[],,20,1,Ugly Search Pages http://tinyurl.com/am22pr,[]
170261399593947136,1329428455,[],,294,743,"New version of Twitter, now on for everyone http://t.co/bKRshGyB",[]
14721693008265216,1292344899,"[""holidaygiving"", ""twitterauction""]",rt:14718897366245376,0,64,RT @katiecouric: #holidaygiving #3: @RoomtoRead @Twitter team up & auction bottles of @fledgling to promote literacy! http://bit.ly/giYI ...,"[18812301, 64823914, 783214, 81900486]"
228595243497447424,1343336327,[],,329,1773,Our apologies for today's outage. http://t.co/CLL6s7Wi,[]
639182466142498816,1441227950,[],,494,214,Egg-cellent news 🍳 https://t.co/qik4abYMDe,[]
4011105190,1253042297,[],,27,1,Received multiple emails about new Terms of Service? http://bit.ly/Qie2B,[]
91208909511073793,1310580873,"[""needhelp"", ""here2help""]",rt:91173591814647808,1,639,RT @twi: Twitter users in Mumbai are using the hashtags #needhelp and #here2help to help people affected by the blasts. Search will work ...,[1544443531]
867195654,1216913582,[],r:15255865,0,0,@aaron_foley We had a database mishap 2 nights ago and are recovering. More information as we have it.,[15255865]
578951617212329984,1426867796,[],,2840,3817,"1/9: Nine years ago, it all started with a Tweet. https://t.co/4WkQb6ZuGP http://t.co/49pLA4A1Jj",[]
51339692368601088,1301075311,"[""quakebook""]",,137,419,#Quakebook: A Twitter-sourced Japan charity book published in one week to benefit the earthquake victims. http://t.co/KJ0kUf1,[]
293891369783676929,1358904137,"[""onlyontwitter"", ""inauguration""]",rt:293890336403628035,0,170,"RT @gov: #OnlyOnTwitter: Capturing the pageantry of #Inauguration Day through the eye, ears and Tweets of those who were there. http://t ...",[222953824]
86849956429836288,1309541617,"[""copaamerica"", ""ca2011""]",rt:86849100590481408,2,292,RT @twitter_es: Twitter y la Copa América 2011 http://t.co/ZeTwd9k #CopaAmerica #CA2011,[3260572712]
925386135,1221702607,[],,2,2,A few whales http://tinyurl.com/4lfx45,[]
5866757295,1258660081,[],,111,416,What did the general say when he found out his army was going to lose the war? Retweet! (feature now available to all users),[]
6809736088,1261173541,[],,56,109,Update on the DNS issue of last night: http://blog.twitter.com/2009/12/update-on-last-nights-dns-disruption.html,[]
454351117661376512,1397160722,[],,812,875,What's new: Real-time notifications on http://t.co/JbzACuw5a2 when someone is engaging with your Tweets. https://t.co/M4ZUdwSkXY,[]
7690948750,1263345048,[],,34,50,Investigating SMS delivery issues http://bit.ly/7hqj33,[]
195629129851351040,1335476593,[],,143,189,Our latest Hack Week fest focused on efficiency - and then there was Code Class. Check it! http://t.co/jp5DHhNw,[]
471440637879791617,1401235181,"[""nowlive""]",,404,547,Music fans alert: @Billboard's Twitter Real-Time Charts are #NowLive ♬ https://t.co/8eHRjGUbTo,[9695312]
256092445136261122,1349892171,[],,98,124,"Want to hang out with TV's funniest family? Stars, producers &amp; crew from @ModernFam will be live-tweeting tonight! http://t.co/ARIqRXqx",[189248614]
2780095152398336,1289497800,[],rt:2775711169380352,1,102,"RT @biannagolodryga: Come meet me and the founders of Twitter, Biz Stone and Ev Williams at Columbus Circle today at 3:30.",[14135350]
657693376117010432,1445641294,[],,593,250,"Via @WIRED, scientists prove no place is too distant to Tweet from: https://t.co/1aXtujxG0S 🌏",[1344951]
27476011471,1287174942,"[""askev""]",rt:27475548761,0,42,RT @ev: @kamokow That was carefully thought about. Sometimes you need the room - esp with pics and video. I think it should be even wide ...,"[20, 22450011]"
3720830839,1251931669,[],rt:3717703350,0,31,"RT @USGSted http://twitpic.com/g8a4i - Map of ""earthquake"" tweets following the 2009-09-02 Java earthquake",[44705716]
176823151307665409,1330992899,[],rt:176820644850302976,0,164,RT @gov: New visual: The road to Super Tuesday in Tweets http://t.co/Lf0MQ457,[222953824]
643518463382843392,1442261732,"[""emmys"", ""smartgirlsask""]",,761,456,We're partnering w/ @smrtgrls &amp; @TelevisionAcad to ask your Q's on the #Emmys red carpet. Tweet w/ #SmartGirlsAsk! http://t.co/CESNrdo5P3,"[113439399, 31634255]"
365211562421657601,1375908196,"[""twitterrevolution""]",,335,669,"Tonight US time: @carlquintanilla explores ""The Twitter Revolution"" at 9pm ET/PT on @CNBC: http://t.co/DgA3N3IkWg #TwitterRevolution","[114782468, 20402945]"
830518997,1213023081,[],,2,1,Some elements of the sidebar temporarily disabled http://tinyurl.com/45y3ep,[]
45941728263409664,1299788336,"[""bookersvtour""]",,59,65,He Tweets! http://t.co/61kAWmK (cc @CoryBooker) #BookerSVTour,[15808765]
898472110,1219688661,[],,0,1,Deletion and Restoration turned off http://tinyurl.com/5tj2e9,[]
1001221260,1226446708,[],,9,1,SMS trouble http://tinyurl.com/6bxpsd,[]
5179145195,1256581276,"[""musicmonday""]",,27,2,"Rocking out to @bananasmc's free song ""Save me, San Francisco"" on #musicmonday.",[]
588445232565391360,1429131250,"[""fridayforgood""]",rt:588387803492327424,0,162,"RT @twitterforgood: Looking forward to our global #FridayforGood in 2 days. Watch how employees support our neighbors around Twitter HQ.
ht…",[1884191208]
11912673829,1270863088,[],,195,1157,Excited to announce our acquisition of Tweetie: http://bit.ly/90ypYh,[]
588484589695475712,1429140634,[],rt:588428145637855232,0,225,RT @vine: We have a new blog! Our engineering blog will share technical details about how Vine works. http://t.co/1xFVxQrPJA,[586671909]
1094494094,1231037581,[],,19,1,"Check out our blog post about ""Phishing"" http://tinyurl.com/88mas4",[]
2408114015969280,1289409113,[],rt:2385184779403265,1,289,"RT @jack: Ever closer to a real-time map of everything. ""A World of Tweets"" by @FrogDesign: http://aworldoftweets.frogdesign.com/","[12, 11512342]"
73411396884381697,1306337615,[],,193,863,Twitter welcomes TweetDeck to the flock http://t.co/MI7uaee,[]
2903848982,1248841523,[],,42,1,Feathers are flying over the new front page. Thanks @stop @mrtall and team for all your hard work! http://blog.twitter.com,"[949521, 13925632]"
200752184311296000,1336698025,"[""driftwood""]",rt:200751352408838145,0,153,RT @TwitterMusic: Thanks to @nickibluhm for playing cuts from #driftwood today for us! http://t.co/O9uZkgaK http://t.co/l04pY4Gr,"[373471064, 25835734]"
24957582292557825,1294785325,[],rt:24951808229117952,0,173,RT @twittermedia: Don't miss @darrenrovell's 13 rules for good tweeting. I like #9 b/c it bucks conventional wisdom: http:/cnbc.com/id/4 ...,"[130649891, 24277551, 12967532]"
40565910062239746,1298506641,[],r:23629399,36,25,@scotlandhuber Yes! Take time to build a valuable experience by finding interesting accounts to follow. Don't worry yet about tweeting.,[23629399]
867613267,1216946394,[],r:15219725,0,1,@gradeacynic We're still working on the restore. Thanks for your patience!,[61241050]
3913888425,1252685350,[],,21,1,London bridges get personified on Twitter! (pretty funny) http://bit.ly/RdPNV,[]
1207383135,1234551400,[],,35,1,Opportunity Knocks: http://tinyurl.com/al9ssc,[]
1162643169,1233345007,[],,10,1,Image upload problems in IE http://tinyurl.com/at7c55,[]
7462139586,1262828788,[],,31,31,Investigating reports of duplicate SMS delivery http://bit.ly/7q12fb,[]
25915017079,1285792405,[],,101,146,"Tweets in your media, media in your tweets! http://t.co/E5AuMMH (A blog post by @twittermedia)",[130649891]
324566189923778560,1366217584,[],rt:324553516653899776,1,509,"RT @TwitterAds: New TwitterAds tool: Keyword targeting in timelines lets you reach people at the right moment, in the right context http ...",[357750891]
3608337562,1251484397,[],,39,2,Another hot day at Twitter HQ. Cold rag please?  http://flic.kr/p/6TAmKC,[]
1013188781,1227114539,[],,8,1,Search behind realtime http://tinyurl.com/5dqqjz,[]
428548291215634432,1391008849,"[""sotu""]",rt:428521604541202432,0,356,"RT @gov: The world reacted, on Twitter, as the President gave his State of the Union (#SOTU) Address.  http://t.co/AGXBQxfS9e http://t.co/d…",[222953824]
714098262,1203040041,[],r:13586,3,2,@melody &lt;3,[13586]
590209977656061952,1429551998,[],,1163,1202,Using Direct Messages to take public conversations private is now easier than ever. Learn about today's updates: https://t.co/odYiGMvLcs,[]
654784186679586816,1444947690,"[""spiritday""]",rt:654772303016824832,0,344,RT @TwitterOpen: We're proud to join millions around the world on #SpiritDay to support LGBTQ youth and end bullying 💜 https://t.co/tAxTPy2…,[338604482]
1927114773,1243366868,[],,44,2,Twitter is not making a TV show: http://bit.ly/PY8eo,[]
838987890,1213910678,[],,1,0,Over capacity errors http://tinyurl.com/465apq,[]
567742066357063680,1424195231,[],rt:567732204977934337,0,1165,"RT @TweetDeck: Share access to your Twitter accounts safely and securely with Teams, new on TweetDeck: https://t.co/piUHkwbfcW http://t.co/…",[14803701]
13151175434,1272662709,[],,101,356,Twitter for Android: Robots like to share too. http://bit.ly/9tSleZ,[]
410840816710475776,1386787058,"[""seeit"", ""socialtv""]",rt:410822499472248832,10,214,"RT @comcast: Comcast plans to add new networks, distributors to #SEEiT bringing #SocialTV to millions of users http://t.co/TrGtOTpBes",[89587925]
5867297191,1258661344,[],rt:5865141794,0,338,RT @davewiner: The new Retweet is cool! (Scripting News) http://r2.ly/wvz4,[3839]
1069881824,1229825179,[],,8,2,The stale timeline problem should now be resolved. If you are still seeing problems please let us know.,[]
243837126171574272,1346970275,[],,97,174,Tune in and tweet in to the VMA's http://t.co/tEz5G080,[]
13929657914,1273777771,[],,52,69,It's bike-to-work day everyday when you're headquartered in San Francisco! @jointheflock,[109184306]
652608531124785152,1444428973,[],,561,241,Dive into your weekend (no parachute required). https://t.co/VqtHvRhXci,[]
377228915166556160,1378773356,"[""tokyo2020""]",,219,426,"How #Tokyo2020 played out: At the height of conversation, more than 26,000 Tweets/minute. https://t.co/pkWSowmuRX",[]
235191289455448064,1344908947,"[""veepstakes""]",,165,204,The Twitter Political Index details the rise (and the end) of the #veepstakes over the past few days: http://t.co/Uh8rbtqq via @gov,[222953824]
105459338121973760,1313978440,[],,239,3264,Getting messages w/ links leading to pics of you? They go to a phishing site. Don't enter your login info. More info: http://t.co/g0d6umq,[]
1173342290,1233678341,[],,46,1,checking out this cool interactive map by the folks at NYT http://bit.ly/7tWi,[]
136178842221031425,1321302540,[],,427,951,What did 11.11.11 look like on Twitter? Watch the day unfold around the world here: http://t.co/HGPVq8f6,[]
16963541465,1277415782,[],,99,158,Video of President Medvedev's visit to Twitter HQ yesterday http://vimeo.com/12831183 (cc: @kremlinrussia_e),[205622130]
3761483522,1252086273,[],,27,1,Working on short delivery delays http://bit.ly/g8mDO,[]
245671237387444224,1347407562,"[""nfl""]",,136,180,Check out Twitter stats and more from #NFL Week 1: http://t.co/o8UX3kNp,[]
16238869084,1276621168,[],rt:16222866298,1,385,RT @twittermobile: TIM customers in Brazil can now send and receive tweets via SMS. Just send 'start' to 40404 to begin! Bem vindo ao Tw ...,[3963481]
367374190128541696,1376423807,[],rt:367351755622719488,2,962,RT @twu: We want Twitter to be the best place in the world for engineers to work. Announcing Twitter University: https://t.co/q101ZuYAAZ,[1707783050]
5870049749,1258667681,[],,144,170,"Think globally, Tweet locally with geotagging. Opt-in! http://blog.twitter.com/2009/11/think-globally-tweet-locally.html",[]
352473319024508930,1372871162,[],,229,488,We're testing ways to make ads more useful for you. Check our short Privacy Policy update (https://t.co/ER2YmKhhmS &gt; Third Parties).,[]
867364223,1216924710,[],r:818578,0,1,@Jon99UT The restore is still underway. Thanks for your patience!,[818578]
610828176734818304,1434467760,[],,799,578,"See more, tap less - videos now autoplay on Twitter! Your thumbs deserve a break. 👍 https://t.co/l73nC6Eq4o",[]
534787182938976256,1416338174,"[""lovetheatre""]",,409,317,All the world's a stage on #LoveTheatre day. Celebrate tomorrow with @TwitterUK and 300 theaters &amp; organizations: https://t.co/rUmbrpd98g,[277761722]
5838277342,1258580870,"[""appwednesday""]",,98,67,A picture is worth more than 140 characters. Shout out to @flickr for their handy Flickr2Twitter app! #appwednesday,[21237045]
631511330873217024,1439399008,[],rt:631510422047322112,0,323,"RT @periscopeco: Periscope, by the numbers https://t.co/zNV5FbmYtY",[2445809510]
559863575066341376,1422316852,"[""snowing"", ""bizzardof2015"", ""snowmageddon2015""]",,1108,846,It's #snowing on Twitter. See how @TwitterData is tracking #bizzardof2015 &amp; #Snowmageddon2015: http://t.co/Mwbx0pAqlN http://t.co/FkXevGUf3E,[1526228120]
47851852070522880,1300243745,"[""5years""]",,598,3574,A little known fact - the past tense of Tweet is to Twote. This and more from the professor of Tweetology. http://t.co/wEXf4XJ #5years,[]
620649661863342081,1436809385,"[""wimbledon""]",rt:620631066236334080,0,274,"RT @TwitterSports: Tweets about #Wimbledon were seen 8 billion times, on &amp; off Twitter. Read more in our recap. https://t.co/rdksFbGDTE htt…",[300392950]
636263177760538628,1440531937,[],,766,329,Bring some birthday joy to your profile. New today: add your birth date from our Android app. http://t.co/K7qa9hy1EO,[]
845357838,1214617990,[],r:14481536,0,0,@ Replies status http://tinyurl.com/5ub9bq,[]
608009279254036480,1433795683,"[""worldoceansday""]",,1059,515,"Whether you're at the beach or the office, celebrate #WorldOceansDay with a waterfront view: https://t.co/WMmnmZmNtQ https://t.co/Ty4fuigETR",[]
4454683524,1254177475,[],,36,4,RT @epicenterblog ‘World’s first’ street -- @ arjanelfassed tweetstreet - named after a Twitter account - http://redirx.com/?no57,[2503751924]
1357776683,1237511855,[],,34,1,Update on service issues http://tinyurl.com/ca872j,[]
15467972848001024,1292522826,[],rt:15464066881421312,2,363,"RT @twittermobile: Now you can access Twitter via SMS worldwide for free with HeyWire.
Get HeyWire at http://t.co/ypsA9Ob then send STAR ...",[3963481]
202111591922147329,1337022133,[],,212,378,"Coming your way: The best of Twitter in your inbox, via our new email digest: http://t.co/rVsmHWkb",[]
40485942145978368,1298487575,[],r:2298661,33,11,"@js_hicks We love your encouragement to @deedeea1019. Making Twitter work for you can take some time, but we think it's worth it!","[2298661, 234596415]"
537365660850876418,1416952931,[],rt:537275889411977217,0,391,RT @vine: Never miss a Vine from your favorite Viners. Tap the star to favorite their accounts &amp; be notified when they post. http://t.co/EP…,[586671909]
1012145372,1227058729,[],,12,1,Systems nominal http://tinyurl.com/5ud6ba,[]
28813797289,1288116747,"[""twittertip""]",,177,147,#TwitterTip: Freshen up with a new background for the revamped layout. http://t.co/SnJset6,[]
312273799775141888,1363286850,[],,318,658,Yesterday we introduced a new app: Twitter for Windows 8. See it in action: http://t.co/Bjlrak7Zjz,[]
590650808401850368,1429657101,[],rt:590575253899849729,0,508,RT @vine: Sharing Vines is now easier than ever with our new share screen 😺 https://t.co/kT3Eb6RSfw,[586671909]
563396391804743680,1423159141,"[""grammys""]",rt:563396047347519491,0,902,RT @TwitterMusic: Celebrate the 2015 #GRAMMYs on Twitter https://t.co/cSp6PNeoiQ http://t.co/O10Ndqw7Pp,[373471064]
251338937795215360,1348758847,[],rt:251338755225567232,1,472,"RT @TwitterStories: Carjacking victim rescued with a Tweet.
 http://t.co/iuMlbxzS",[119134771]
575451724149714944,1426033357,"[""iwd2015"", ""beijing20""]",rt:575448177299476480,0,247,RT @TwitterWomen: #IWD2015 continues tonight. Follow the global conversation on the future of women's rights w/ @UN_Women &amp; #Beijing20. htt…,"[2328002822, 17137628]"
5430109562,1257368232,"[""appwednesday""]",,45,5,Here's an app in honor of our Spanish launch yesterday: http://ito.mx/ (they don't have a Twitter account yet but we can wait) #appwednesday,[]
7463037454,1262830682,[],,31,52,Working on Tweet delivery delays http://bit.ly/6REmpC,[]
159082740363427841,1326763255,"[""scdebate"", ""answer"", ""dodge""]",rt:158999937508573184,0,203,RT @twittermedia: Tonight's #SCdebate: help @FoxNews keep candidates on topic. Tweet candidate name + #answer or #dodge. Results on-air  ...,"[130649891, 1367531]"
253234768966213632,1349210848,"[""newgirl"", ""themindyproject"", ""benandkate"", ""raisinghope""]",rt:253231036132098048,0,110,"RT @twittertv: We have big plans tonight! Live-Tweet Party w/ stars of #NewGirl, #TheMindyProject, #BenandKate &amp; #RaisingHope here:  ...",[586198217]
14390688704,1274396639,[],rt:14387944971,1,30,RT @maxbeatty: @twitter if I didn't have mobile alerts enabled for @conanobrien I would have never gotten tickets to see him last night,"[9876312, 783214, 115485051]"
401388044051169281,1384533341,[],,330,400,"Via @TwitterTV, the best @ScandalABC Tweets from last night, curated by @DarbySOfficial in a custom timeline: https://t.co/Kof0WNjfAz","[586198217, 288304848, 398458864]"
