tweet_id,time,hashtags,type,faves,retweets,text,mentions
409040866536218624,1386357916,[],r:12241752,0,0,"@maxogden hrm.. I have a thing at 8 + bridge traffic, so probably not. :( what're you guys doing tomorrow?!",[3529967232]
629726173124112384,1438973394,[],r:6121912,1,0,@jennschiffer @alunny now I know what my going away present will be...,"[12524622, 15990366]"
485698823528775680,1404634598,[],r:21500149,0,0,@linclark @nodesource @nodeconf was near the fire. all gone. 😓,"[21500149, 807405552, 186697923]"
243579935015436288,1346908956,[],rt:243573571132194816,0,1,"RT @dshaw: \o/ @visnup of @fortenightlabs and @node_knockout, and @theglamourist  @ NodeConf Summer Camp 2012 http://t.co/pkXS5BPc","[806757, 6121912, 180919472, 108125288]"
613805878995611648,1435177700,[],r:350353681,0,0,@HenriHelvetica yoo!!!!,[350353681]
444931119058673664,1394914819,[],r:6121912,0,0,"@SlexAxton @alunny wait, gotta redo that.","[12806822, 15990366]"
189476866829197312,1334009780,[],,0,0,"@izs btw, who’s working on the new http://t.co/VIYLP4QI? I’d totally want in on that, but really, I probably don’t have the time.",[8038312]
210112432100741120,1338929682,[],,0,0,"random @github feature request: if your README ends in .js or .rb (or similar), run it through docco and display the output. @jashkenas","[13334762, 123323498]"
533703681288335360,1416079848,"[""rustlang""]",rt:533702491402014721,0,83,RT @jedisct1: Box&lt;Cat&lt;Box&lt;Cat&gt;&gt;&gt; #rustlang RT @lvsn: (cons cat (cons cat nil)) http://t.co/X8bkIczgT8,"[17396038, 14088530]"
172085093811240960,1329863258,[],r:1671811,0,0,@polotek this one seems more convincing http://t.co/jrV9nwjI /cc @paul_irish,"[20079975, 1671811]"
618564724473507840,1436312297,[],r:15252015,0,0,@FotoVerite @linclark SORRY,"[15252015, 21500149]"
612688570239852544,1434911313,[],rt:612678852192661504,0,8,"RT @jedschmidt: ready for fun-based meetups to go west, young man. thanks for the shout, @visnup! https://t.co/emTjByegCq http://t.co/R9Be0…","[815114, 6121912]"
371053014192119808,1377300907,[],,1,0,@Square ^_____^ @('_')@ d[-__-]b,[93017945]
382267021259317248,1379974534,[],,0,0,"@strathmeyer You've been nominated to judge @node_knockout! Interested? Takes ~2hrs online, at your convenience, between 11/12 and 11/18.","[129793, 180919472]"
129312492592697344,1319665475,[],r:678863,0,0,@dburkes wow 300% increase! you should lobby for arcade games and bear skin rugs to be included.,[678863]
142393963943444480,1322784341,[],r:95938827,0,0,@hij1nx http://t.co/rQX95WiJ,[3781380935]
186227266903224322,1333235015,[],r:806757,0,0,@dshaw @gerad never found a ticket for him,"[806757, 14200886]"
614135298910474240,1435256239,[],r:12524622,1,1,@jennschiffer $ whois http://t.co/XVC9erYDZw ... Registrant Name: Mikeal Rogers @mikeal,"[12524622, 668423]"
472795154219540480,1401558123,[],rt:472450137264885762,0,507,RT @kadavy: I get a kick out of A/B testing the *exact same* email &amp; finding statistically different performance http://t.co/T6mR8beDnS,[8520]
227553217221902337,1343087889,[],rt:227553083838832642,0,3,"RT @badnima: @visnup the @cloudfoundry team is hosting an ""Intro to Node.js"" webinar. Can you help spread the word? https://t.co/FIppv6zG","[14694282, 6121912, 18697326]"
595984303382601728,1430928705,[],r:1914168546,0,0,@olga_scott ah DM me and we can figure something out.,[1914168546]
648970870740922370,1443561687,[],,9,8,"(o = ____ =&gt; O) 👈 valid ES6 JavaScript.

let the valid JS emoticon race begin. you're welcome.",[]
268188217524768769,1352776028,[],,0,0,@mikeal @hashpay needs better parsing #$10,"[668423, 412951920]"
432719306757922816,1392003296,[],,2,0,I ate 18 chicken mcnuggets because the olympics told me to and now I feel gross. I can't hang with athletes.,[]
167305825533173762,1328723791,[],,1,0,"re: http://t.co/D8EX2vGD, it's definitely still alpha though. half our results came back ""Romance Standard Time"". (Bromance ST I'd accept)",[]
454118092000329728,1397105164,[],r:190857410,0,0,@shirleyxywu uidatepicker + uiwebview + d3 = https://t.co/QVIoJKzKoY,[190857410]
224194407648346112,1342287086,[],r:9279552,0,1,@dscape @maxogden I can't remember. I just remember waking up think WHOA I've seen max without a beard.,"[9279552, 3529967232]"
330078170420232192,1367531743,[],,0,0,@ffloat used fastclick on http://t.co/q7ULwQRdYC: pjax+static pages+fastclick = speed for no reason. I should try a spdy-enabled server...,[189685225]
423014772397703168,1389689555,"[""madewithpaper""]",,2,0,Fish monster grr #MadeWithPaper http://t.co/jmG8MEfrwi,[]
142393133316046849,1322784143,[],,0,0,"“this is the first non-mexican coke I’ve had in a while” –Jane, while in KS (and not in SF)",[]
233795625458733056,1344576195,[],r:184987977,0,1,@jesusabdullah interesting. I would've tried `file butts` first.,[]
348970982716874755,1372036140,[],r:189685225,0,0,@ffloat @dshaw @mikeal saw one of those at a whiskey tasting I went to once... it was fancy.,"[189685225, 806757, 668423]"
230865723159883776,1343877652,[],,0,0,@tristandunn what's been up with you lately? move out here yet?,[5716862]
624276421779849216,1437674072,[],r:8470842,1,0,@kosamari @copasetickid I couldn't finish my ribs. I ate too much. I need a nap. 😞,"[8470842, 548879532]"
420784637233737728,1389157849,"[""poopin""]",,0,1,#poopin http://t.co/2dUHBzxuRW,[]
130441414449434624,1319934631,[],,0,0,@ryah &lt;3 the packaging of things in Tokyo.,[967076702]
546437513473044480,1419115830,[],,3,1,python -mSimpleHTTPServer,[]
486415907304919040,1404805564,[],,0,0,this reminds me of that scene in pulp fiction when they open the briefcase https://t.co/9D6IfcCkoR by @FotoVerite,[15252015]
422856934346063873,1389651924,[],r:20079975,0,0,@polotek @joemccann saw that coming. :'(,"[20079975, 14814762]"
215884540403658752,1340305860,[],r:7741912,0,0,@cantubury would be awesomer if trench coated shifty individuals passed encrypted hand-written notes to get my fax to its destination.,[]
442745188193030144,1394393653,[],r:81489706,0,0,@gdbelvin @mnot @__apf__ ooh go to https://t.co/mfdZv6ThgK,"[81489706, 5832482, 533539874]"
164846454354096129,1328137432,[],,0,0,there is some serious bash-fu going on in ruby-build https://t.co/uufamsRR /cc @tjholowaychuk @rauchg,"[29255412, 15540222]"
375812646064652289,1378435691,[],,0,0,@theglamourist documenting our anniversary fancy dinner @ Benu http://t.co/4tmqwf86l0,[108125288]
248137713692311552,1347995615,[],,0,0,"combined all of my workspaces into the personal one on @asana and I'm finally
productive again. the rest is confusing and distracting.",[202886242]
218393734818168832,1340904098,[],,1,0,@dshaw @antiserf @gerad nice: http://t.co/D4mLV4bL,"[806757, 40077142, 14200886]"
128638590937870336,1319504804,[],r:668423,1,0,"@mikeal I'd say PR within podcasts. I've never bought what the sponsor was peddling, but I've bought what was mentioned within the podcast.",[668423]
182691052208144384,1332391915,[],rt:182666655380422656,0,1,"RT @bwalsh: Overheard in San Francisco: ""Not only does my shit not stink, but it's edible.""",[1174501]
171765749340319745,1329787120,[],,0,1,having fun with jsdom and d3 http://t.co/V4isoJqt (vote for jane!),[]
261270638168256512,1351126748,[],r:7955612,0,0,@ncb000gt yes.,[7955612]
160103308604874752,1327006578,[],,0,0,I owe @gerad $6,[14200886]
577706954920886272,1426571045,[],,4,1,At @Opendoor we expect more from our employees. So we budget 1.5 computers per employee. http://t.co/1yhKa5jDSh,[2516312634]
656296551321436161,1445308265,[],r:150664007,5,0,@thealphanerd @mikeal @jkup @kng @0x604 @sofianguy @tlhunter work lunch today? dim sum. https://t.co/yYPzJekjaA,"[150664007, 668423, 255634108, 349436452, 305740584, 368813097, 89759486]"
165512916458668033,1328296329,[],r:40077142,0,0,@blinkenbyte @gerad @dshaw what time?,"[14200886, 806757]"
492895265347473408,1406350363,[],,1,1,Patiently watching the homebrew 10.10 issues to know when I can install a developer preview and not fuck myself over https://t.co/daZwl5VvTg,[]
409081716142129152,1386367656,[],,1,0,"btw, new ^⌘Space [Special Characters...] in mavericks is badass. http://t.co/3LLfEdljni",[]
530203203824926720,1415245269,[],,1,0,Gotta collect them all! http://t.co/cwi27mJFaj,[]
366406417311227905,1376193072,[],,0,0,"what bugs me about iOS7 overlays: the blurring implies significant depth, but lack of shadow implies none. http://t.co/2LdC8bZx5q",[]
346861652458733568,1371533236,[],,1,0,Coco wants to go outside https://t.co/TxbGvMFB86,[]
355521367141122051,1373597873,[],r:15989423,0,0,"@garannm duh, checkboxes and radio buttons are.",[15989423]
