tweet_id,time,hashtags,type,faves,retweets,text,mentions
261571335942201344,1351198440,"[""strataconf""]",rt:261569059374637056,0,3,"RT @noahi: Visualizing networks talk by @arnicas is super interesting. Good examples, explanations, and overview of topics. #strataconf","[15399031, 6146692]"
475980356928020480,1402317535,[],r:6146692,0,0,@arnicas @erinshellman I don't know that I have! Will have to check it out when some free time appears from the ether.,"[6146692, 20262516]"
325779735747645440,1366506916,[],r:762800419,0,0,@polyform_design @matthewsandwich alas. I'm watching child. Lets hang out again soon.,"[762800419, 805979947]"
228965370424344576,1343424572,[],rt:228959644725432321,0,3,"RT @metamarkets: Our profile of Hadley Wickham, Metamarkets' Inaugural Data Scientist in Residence and creator of R package ggplot2. htt ...",[127634032]
584750410675552256,1428250336,[],rt:584749995275915264,0,14,"RT @Elijah_Meeks: Looking at gestalt in animation and lines.
http://t.co/wAOqc3DBhh",[1387915232]
319519426208747520,1365014342,[],rt:319503713653895169,0,7,"RT @dylanr: this is magical: http://t.co/k0vl5hNMhq
seriously amazing. data people, check it out!",[1042361]
562415072006270977,1422925176,[],r:78729443,1,1,@joe_hellerstein @timelyportfolio @jeffrey_heer and he's key noting @OpenVisConf ! http://t.co/5wDLqQKEcS,"[78729443, 245217900, 247943631, 945943164]"
354642815298445312,1373388410,[],rt:354635541096042499,0,6,"RT @bryanconnor: For those who want to keep up with the latest in data visualization, I just launched @datadrivennews","[18686296, 1547974698]"
659899344544468992,1446167238,[],r:194798845,14,11,@AnalysisFactory @EdwardTufte very nice. I reimplemented one from 1890 https://t.co/PQqNOT2KjB,"[194798845, 152862026]"
174162951077494785,1330358657,[],r:6146692,0,0,"@arnicas Ha, excellent! that would be fun to see.",[6146692]
475695859443585024,1402249705,[],r:15399031,0,0,@noahi hey thanks! We are getting the hang of this 2 kid thing now n,[15399031]
622411717583093760,1437229491,[],rt:622410024715952128,0,21,RT @patriciogv: What's the perfect activity for a rainy day? The new chapter of @BookOfShaders about patterns http://t.co/QSOijP3nlK http:/…,"[29483320, 3370784039]"
449963919851786240,1396114733,[],,4,2,My first @gifpop !! @d3unconf http://t.co/1gBz1J0Mvn,"[1238260112, 2318412205]"
314027359131021312,1363704931,[],r:24617810,0,0,@aricaroline @moebio @tillnm @visualisingdata ha. at least its not a box plot with you as a little outlier dot...,"[24617810, 367089411, 36853217, 137712607]"
174235142599090176,1330375869,[],r:329714473,0,0,@infobeautyaward @jcukier wait - I'm confused. So those originally missing on the long list were not reviewed for the contest?,"[329714473, 14624309]"
591284601479237633,1429808209,[],,12,4,Really excited to share this awesome project i worked on with @ireneros and @tafsiri Explore! Engage! Enjoy! https://t.co/nOsq3eeh1o,"[16789581, 11890912]"
409448358076358656,1386455070,[],r:177507079,0,0,@driven_by_data @nytgraphics wow!! crazy good news. excited to see what you do there!,"[177507079, 86640232]"
533673910999322624,1416072750,[],r:286660225,1,0,@labtoad haha. Thaaaaank you!! Miss you and your family. If you visit the PNW or need an editor for your next work - let us know!! 😁,[286660225]
550721650384052224,1420137248,[],r:6146692,0,0,@arnicas you got it? Awesome. Like it so far? It's a bit expensive but sounds amazing.,[6146692]
392846301374607360,1382496831,[],r:35546882,0,0,"@joannecheng hey, nice work! very cool view of Denver.",[35546882]
273097741465423873,1353946550,[],,0,0,I just backed HOLO Magazine on @Kickstarter http://t.co/Jp2lE3J4,[16186995]
403611333905489921,1385063415,[],r:580031141,4,5,"Fun aggregate art visualization: RT @jradavenport The Dimensions of Art, visualizing the size of +65k pieces http://t.co/oP9iN7z4Ym",[580031141]
387259814318850048,1381164909,[],r:6146692,0,0,@arnicas @SimonScarr beautiful! love the hex pattern from collision detection and small bubbles.,"[6146692, 364704699]"
314411201729789955,1363796446,[],,8,3,congrats to @nachocaballero for creating this awesome tool: straight from R to D3 - https://t.co/gakqhmFTha,[10352892]
315150085027684353,1363972610,[],,1,0,beautiful schematic londen underground postcards: http://t.co/ds0kCWymUQ by @drawnbyday,[636864463]
230413819757867008,1343769910,[],,8,3,awesome post on kaggle submission http://t.co/N5XiDN2z via @echen,[67653490]
554127022205571072,1420949151,[],rt:554076470323478528,0,17,RT @liza: random.chance: a surrealist photobook. Gallery http://t.co/JfKeM3Y5h4 &amp; code https://t.co/V4Gh3qINQb http://t.co/zk2QRTttDk,[1813571]
